日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-09-08 09:02,XNN,1545,737-800,20,5,25,0,5,5,25,0,,,,,
2019-09-08 09:01,XNN,1346,737-800,20,4,25,0,4,5,26,0,,,,,
2019-09-08 08:46,XIY,1373,737-800,24,4,30,0,3,3,26,0,,,,,
2019-09-08 08:33,DLC,5852,737-800,23,4,30,0,4,3,26,0,,,,,
2019-09-08 08:29,XMN,5337,737-800,29,4,28,0,6,6,30,0,,,,,
2019-09-08 08:29,XMN,5465,737-800,29,6,30,0,5,5,32,0,,,,,
2019-09-08 08:28,XMN,5416,737-800,25,7,27,0,5,6,23,0,,,,,
2019-09-08 08:27,XMN,1995,737-800,28,6,32,0,6,6,32,0,,,,,
2019-09-08 08:23,KMG,5409,737-800,20,4,27,0,4,4,28,0,,,,,
2019-09-08 08:22,FOC,1347,737-800,28,4,35,0,4,5,32,0,,,,,
2019-09-08 08:15,URC,5428,737-800,23,4,28,0,3,4,27,0,,,,,
2019-09-08 07:51,HAK,5466,737-800,27,5,34,0,5,6,32,0,,,,,
2019-09-08 07:47,FOC,5182,737-800,30,4,32,0,4,4,34,0,,,,,
2019-09-08 07:37,XIY,1542,737-800,25,4,21,0,3,3,20,0,,,,,
2019-09-08 07:19,CAN,5372,737-800,32,8,36,0,7,7,36,0,,,,,
2019-09-08 07:17,CGO,1209,737-800,25,3,32,0,3,3,30,0,,,,,
2019-09-08 06:25,TYN,1386,737-800,25,4,27,0,4,4,21,0,,,,,
2019-09-08 06:14,CGO,1215,737-800,25,4,25,0,3,4,26,0,,,,,
2019-09-08 06:04,SZX,5623,737-800,30,8,36,0,8,6,34,0,,,,,
2019-09-08 06:04,HAK,5687,737-800,25,5,34,0,4,4,32,0,,,,,
2019-09-08 05:55,HAK,7167,737-800,28,6,35,0,6,6,36,0,,,,,
2019-09-08 05:53,HAK,7378,737-800,28,6,34,0,5,4,32,0,,,,,
2019-09-08 05:51,DLC,5478,737-800,24,6,25,0,4,3,23,0,,,,,
2019-09-08 05:44,CGO,5637,737-800,28,2,31,0,3,2,30,0,,,,,
2019-09-08 05:36,PEK,5406,737-800,25,5,28,0,5,4,30,0,,,,,
2019-09-08 05:36,URC,5579,737-800,17,6,29,0,6,6,24,0,,,,,
2019-09-08 05:25,FUZ,1347,737-800,28,4,35,0,4,5,32,0,,,,,
2019-09-08 05:14,FOC,1433,737-800,29,3,35,0,2,4,20,0,,,,,
2019-09-08 05:07,XIY,1163,737-800,25,2,28,0,2,2,30,0,,,,,
2019-09-08 05:07,XIY,6063,737-800,25,4,28,0,4,3,28,0,,,,,
2019-09-08 05:05,URC,205V,737-800,17,5,28,0,4,4,24,0,,,,,
2019-09-08 05:03,XIY,1162,737-800,20,4,22,0,5,5,24,0,,,,,
2019-09-08 04:59,HGH,5375,737-800,25,2,30,0,4,4,27,0,,,,,
2019-09-08 04:56,HAK,6065,737-800,27,6,35,0,8,7,32,0,,,,,
2019-09-08 04:50,XIY,1903,737-800,26,3,29,0,2,2,26,0,,,,,
2019-09-08 04:42,CGO,5732,737-800,28,3,30,0,4,3,29,0,,,,,
2019-09-08 04:41,SYX,5408,737-800,30,4,34,0,4,4,30,0,,,,,
2019-09-08 04:40,HAK,1929,737-800,35,4,32,0,4,4,30,0,,,,,
2019-09-08 04:25,深圳,1496,737-800,29,6,36,0,6,6,36,0,,,,,
2019-09-08 04:24,HHA,1541,737-800,28,5,32,0,4,6,34,0,,,,,
2019-09-08 04:24,TYN,5090,737-800,27,1,24,0,1,1,26,0,,,,,
2019-09-08 04:19,XIY,1482,737-800,25,6,32,0,6,5,35,0,,是,,,
2019-09-08 04:14,FOC,1559,737-800,28,3,36,0,3,2,34,0,,,,,
2019-09-08 04:14,KMG,7993,737-800,20,5,26,0,5,6,24,0,,,,,
2019-09-08 04:13,HGH,5467,737-800,26,3,32,0,3,2,31,0,,,,,
2019-09-08 04:10,URC,2157,737-800,20,4,24,0,9,2,30,0,,,,,
2019-09-08 04:09,KMG,1565,737-700,20,0,0,6,0,0,0,6,,,,,
2019-09-08 04:06,URC,5709,737-800,15,2,24,0,2,3,24,0,,,,,
2019-09-08 03:59,URC,6995,737-800,20,5,29,0,6,6,23,0,,,,,
2019-09-08 03:58,TYN,1503,737-800,19,3,25,0,4,4,24,0,,,,,
2019-09-08 03:58,CGO,7991,737-800,26,6,26,0,5,6,25,0,,,,,
2019-09-08 03:57,XIY ,5089,737-800,25,6,28,0,4,4,26,0,,,,,
2019-09-08 03:53,XIY,1348,737-800,25,5,32,0,5,4,30,0,,,,,
2019-09-08 03:51,URC,1569,737-800,20,2,26,0,2,2,26,0,,,,,
2019-09-08 03:47,URC,205T,737-800,20,2,26,0,2,2,22,0,,,,,
2019-09-08 03:46,SHA,1548,737-800,27,5,30,0,5,4,28,0,,,,,
2019-09-08 03:46,URC,1323,737-800,20,2,25,0,5,5,24,0,,,,,
2019-09-08 03:45,URC,1322,737-800,20,4,27,0,3,3,22,0,,,,,
2019-09-08 03:44,YIH,1435,737-800,29,6,36,0,8,8,30,0,,,,,
2019-09-08 03:41,DLC,1727,737-800,24,5,28,0,6,4,28,0,,,,,
2019-09-08 03:40,HAK,1101,737-800,28,4,37,0,3,3,35,0,是,,,,
2019-09-08 03:37,URC,1568,737-800,19,6,29,0,5,6,28,0,,,,,
2019-09-08 03:30,PEK,7171,737-800,25,4,28,0,4,4,28,0,,,,,
2019-09-08 03:30,TYN,5798,737-800,25,2,18,0,3,2,22,0,,,,,
2019-09-08 03:28,PEK,5735,737-800,26,1,26,0,2,1,24,0,,,,,
2019-09-08 03:24,HHA,1538,737-800,26,3,32,0,3,2,32,0,,,,,
2019-09-08 03:17,HAK,5520,737-800,26,6,37,0,7,5,37,0,是,是,,,
2019-09-08 03:15,SYX,5463,737-800,28,4,24,0,4,4,24,0,,,,,
2019-09-08 03:12,HAK,5853,737-800,26,6,30,0,6,6,30,0,,,,,
2019-09-08 03:11,HGH,5135,737-800,25,5,30,0,5,6,32,0,,,,,
2019-09-08 03:11,SZX,6061,737-800,30,5,35,0,6,6,33,0,,,,,
2019-09-08 03:11,KMG ,1798,737-800,20,4,28,0,4,4,24,0,,,,,
2019-09-08 03:09,FOC,5430,737-800,28,7,32,0,7,6,34,0,,,,,
2019-09-08 03:09,HAK,5733,737-800,27,5,34,0,5,4,34,0,,,,,
2019-09-08 03:09,KMG ,5449,737-800,18,4,28,0,4,4,25,0,,,,,
2019-09-08 03:04,CGO,6015,737-800,25,5,23,0,4,5,26,0,,,,,
2019-09-08 03:04,HGH,5712,737-800,26,3,27,0,4,4,28,0,,,,,
2019-09-08 03:02,HHA,1795,737-800,28,4,31,0,4,4,32,0,,,,,
2019-09-08 03:01,KMG,1563,737-700,20,0,0,6,0,0,0,6,,,,,
2019-09-08 03:00,XIY,5661,737-800,27,4,28,0,8,8,26,0,,,,,
2019-09-08 02:59,KMG,1586,737-800,20,5,27,0,4,4,28,0,,,,,
2019-09-08 02:54,SYX,1799,737-800,26,3,36,0,8,3,34,0,是,,,,
2019-09-08 02:53,URC,1996,737-800,20,6,20,0,4,4,24,0,,,,,
2019-09-08 02:53,HAK,7175,737-800,26,4,34,0,8,8,32,0,,,,,
2019-09-08 02:50,MIG,6800,737-800,25,4,31,0,4,4,28,0,,,,,
2019-09-08 02:50,SHA,5540,737-800,27,6,36,0,6,6,32,0,是,,,,
2019-09-08 02:44,XMN,1995,737-800,28,6,32,0,6,8,32,0,,,,,
2019-09-08 02:44,PEK,5538,737-800,23,3,32,0,4,4,32,0,,,,,
2019-09-08 02:42,XMN,5416,737-800,25,7,27,0,5,6,23,0,,,,,
2019-09-08 02:41,HHA,1795,737-800,28,4,31,0,4,4,32,0,,,,,
2019-09-08 02:41,XMN,5337,737-800,25,4,28,0,6,6,30,0,,,,,
2019-09-08 02:40,XMN,5465,737-800,29,4,28,0,6,6,30,0,,,,,
2019-09-08 02:37,URC,1725,737-800,20,6,24,0,4,4,24,0,,,,,
2019-09-08 02:33,XIY,1483,737-800,28,5,28,0,6,6,30,0,,,,,
2019-09-08 02:30,HHA,5611,737-800,27,4,34,0,6,5,30,0,,,,,
2019-09-08 02:26,HHA,5439,737-800,27,3,29,0,3,3,31,0,,,,,
2019-09-08 02:26,HHA,1787,737-800,30,2,22,0,4,4,24,0,,,,,
2019-09-08 02:24,INC,1161,737-800,21,7,20,0,3,4,22,0,,,,,
2019-09-08 02:23,PEK,5406,737-800,26,4,30,0,5,4,27,0,,,,,
2019-09-08 02:22,HHA,1505,737-800,28,3,26,0,4,3,28,0,,,,,
2019-09-08 02:19,HAK,5371,737-800,27,9,30,0,7,6,30,0,,,,,
2019-09-08 02:17,PEK,5539,737-800,25,5,29,0,5,6,30,0,,,,,
2019-09-08 02:16,深圳,1501,737-800,29,4,36,0,5,5,34,0,,,,,
2019-09-08 02:13,HAK,7619,737-800,26,6,32,0,5,4,36,0,,是,,,
2019-09-08 02:10,SYX,5521,737-800,27,3,30,0,4,3,31,0,,,,,
