日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-26 10:16,HRB,1351,737-800,29,5,28,0,4,5,30,0,,,,,
2019-07-26 10:08,URC,1569,737-800,24,1,28,0,0,0,12,0,,,,,
2019-07-26 09:49,HAK,5686,737-800,25,6,36,0,5,5,33,0,,,,,
2019-07-26 09:47,HAK,5373,737-800,29,6,34,0,8,8,36,0,,,,,
2019-07-26 09:46,HAK,5135,737-800,29,4,34,0,3,3,33,0,,,,,
2019-07-26 09:43,PEK,1492,737-800,29,4,32,0,3,4,31,0,,,,,
2019-07-26 09:42,HAK,5135,737-800,29,4,34,0,3,3,33,0,,,,,
2019-07-26 09:28,HAK,1130,737-800,25,3,32,0,3,3,30,0,,,,,
2019-07-26 09:16,URC,206P,737-800,26,6,28,0,5,4,28,0,,,,,
2019-07-26 09:11,CTU,5249,737-700,29,0,0,8,0,0,0,7,,,,,
2019-07-26 09:02,PEK,6062,737-800,25,2,28,0,2,2,30,0,,,,,
2019-07-26 08:48,FOC,5182,737-800,30,3,32,0,4,4,34,0,,,,,
2019-07-26 08:47,KMG,7992,737-800,20,6,30,0,7,6,30,0,,,,,
2019-07-26 08:46,FOC,5430,737-800,30,5,36,0,5,6,36,0,,,,,
2019-07-26 08:24,MIG,7991,737-800,30,8,36,0,6,7,37,0,,,,,
2019-07-26 08:15,MIG,5449,737-800,25,6,31,0,5,5,30,0,,,,,
2019-07-26 08:12,MIG,6809,737-800,30,5,33,0,5,6,36,0,,,,,
2019-07-26 08:12,KMG,5409,737-800,20,6,26,0,5,4,27,0,,,,,
2019-07-26 07:59,FOC,1562,737-800,28,4,36,0,5,4,36,0,,,,,
2019-07-26 07:10,CGO,5417,737-800,28,6,28,0,5,5,28,0,,,,,
2019-07-26 07:08,CGO,1536,737-700,30,0,0,8,0,0,0,8,,,,,
2019-07-26 06:30,URC,2157,737-800,20,4,25,0,6,7,25,0,,,,,
2019-07-26 06:22,URC,2157,737-800,20,4,25,0,6,7,25,0,,,,,
2019-07-26 06:15,FOC,5418,737-800,29,10,32,0,4,9,32,0,是,,,,
2019-07-26 06:06,XIY,1502,737-800,28,4,24,0,4,4,32,0,,,,,
2019-07-26 06:03,PEK,5405,737-800,26,4,30,0,4,4,30,0,,,,,
2019-07-26 06:02,XIY,1481,737-800,25,4,31,0,4,4,28,0,,,,,
2019-07-26 05:57,FOC,7105,737-800,28,6,36,0,6,5,30,0,,,,,
2019-07-26 05:56,FOC,7105,737-800,28,6,36,0,8,7,40,0,,,,,
2019-07-26 05:51,HHA,5481,737-800,30,5,33,0,5,6,33,0,,,,,
2019-07-26 05:50,HHA,1386,737-800,30,5,33,0,5,6,34,0,,,,,
2019-07-26 05:50,KMG,1209,737-800,16,3,27,0,4,3,26,0,,,,,
2019-07-26 05:41,HGH,5463,737-800,35,4,32,0,6,6,31,0,,,,,
2019-07-26 05:32,HHA,7377,737-800,29,7,35,0,7,7,17,0,,,,,
2019-07-26 05:18,SZX,7171,737-800,30,2,30,0,4,4,32,0,,,,,
2019-07-26 05:09,SYX,1491,737-800,28,4,34,0,6,6,32,0,,,,,
2019-07-26 05:00,KMG,1208,737-800,18,4,26,0,3,3,23,0,,,,,
2019-07-26 04:57,W204,5636,737-800,27,4,31,0,5,4,32,0,,,,,
2019-07-26 04:57,W202,1141,737-800,25,4,31,0,5,5,30,0,,,,,
2019-07-26 04:42,HHA,7377,737-800,29,7,35,0,7,7,17,0,,,,,
2019-07-26 04:35,KMG,5288,737-700,20,0,0,8,0,0,0,6,,,,,
2019-07-26 04:32,XIY,1162,737-800,26,4,31,0,4,4,30,0,,,,,
2019-07-26 04:28,CKG,5337,737-800,27,4,32,0,4,6,32,0,,,,,
2019-07-26 04:27,DLC,5338,737-800,27,4,30,0,4,4,30,0,,,,,
2019-07-26 04:25,URC,1103,737-800,21,4,30,0,4,3,26,0,,,,,
2019-07-26 04:25,HAK,5465,737-800,27,6,35,0,3,3,34,0,,,,,
2019-07-26 04:25,CAN,5428,737-800,30,6,32,0,7,5,37,0,,,,,
2019-07-26 04:24,ZGC,7172,737-800,20,4,26,0,4,5,27,0,,,,,
2019-07-26 04:21,URC,2159,737-800,23,3,23,0,3,3,24,0,,,,,
2019-07-26 04:20,HAK,5467,737-800,30,2,30,0,4,5,28,0,,,,,
2019-07-26 04:19,ZGC,6066,737-800,20,7,26,0,4,5,25,0,,,,,
2019-07-26 04:18,HAK,5090,737-800,30,1,36,0,2,3,34,0,,,,,
2019-07-26 04:15,CAN,5375,737-800,29,4,34,0,6,6,34,0,,,,,
2019-07-26 04:06,CTU ,5823,737-700,28,0,0,8,0,0,0,6,,,,,
2019-07-26 04:02,167,6015,737-800,20,5,26,0,8,8,26,0,,,,,
2019-07-26 03:56,URC,1503,737-800,20,3,32,0,2,3,30,0,,,,,
2019-07-26 03:50,CAN,5638,737-800,28,5,35,0,6,6,35,0,,,,,
2019-07-26 03:48,FOC,1348,737-800,29,6,36,0,5,5,34,0,,,,,
2019-07-26 03:47,URC,5853,737-800,22,4,29,0,5,5,27,0,,,,,
2019-07-26 03:47,URC,5853,737-800,22,4,29,0,5,5,27,0,,,,,
2019-07-26 03:45,XIY,5115,737-800,27,7,31,0,7,7,30,0,,,,,
2019-07-26 03:43,INC,1161,737-800,21,6,29,0,5,6,28,0,,,,,
2019-07-26 03:42,URC,1497,737-800,20,4,26,0,3,4,27,0,,,,,
2019-07-26 03:40,TYN,1996,737-800,27,4,26,0,4,4,28,0,,,,,
2019-07-26 03:36,SYX,1728,737-800,30,4,30,0,6,6,28,0,,,,,
2019-07-26 03:32,FOC,1435,737-800,29,6,35,0,6,6,30,0,,,,,
2019-07-26 03:26,HGH,1727,737-800,32,7,36,0,6,6,36,0,,,,,
2019-07-26 03:25,SYX,6060,737-800,29,6,32,0,6,5,32,0,,,,,
2019-07-26 03:23,海口,5713,737-800,30,4,30,0,4,4,30,0,,,,,
2019-07-26 03:19,HAK,1215,737-800,30,6,32,0,6,8,34,0,,,,,
2019-07-26 03:16,ZGC,5138,737-800,20,2,20,0,3,4,21,0,,,,,
2019-07-26 03:15,HAK,7639,737-800,27,7,35,0,8,7,34,0,,,,,
2019-07-26 03:15,HGH,1547,737-800,30,5,34,0,5,6,34,0,,,,,
2019-07-26 03:14,HHA,5580,737-800,30,7,35,0,7,7,35,0,,,,,
2019-07-26 03:09,HAK,7399,737-800,28,5,30,0,4,4,29,0,,,,,
2019-07-26 03:08,TYN,5082,737-800,23,6,32,0,4,4,30,0,,,,,
2019-07-26 03:04,KMG,5289,737-700,18,0,0,5,0,0,0,5,,,,,
2019-07-26 03:04,HHA,5480,737-800,33,5,34,0,4,4,30,0,,,,,
2019-07-26 03:01,URC,1325,737-800,21,4,28,0,3,4,23,0,,,,,
2019-07-26 03:00,CGO,7990,737-800,29,6,28,0,5,5,30,0,,,,,
2019-07-26 03:00,URC,5429,737-800,18,3,23,0,3,3,26,0,,,,,
2019-07-26 02:59,URC,5249,737-800,18,3,23,0,3,3,26,0,,,,,
2019-07-26 02:58,XIY,7378,737-800,30,4,29,0,5,6,30,0,,,,,
2019-07-26 02:56,HAK,5439,737-800,28,7,34,0,5,5,34,0,,,,,
2019-07-26 02:56,HGH,5372,737-800,32,6,36,0,6,6,35,0,,,,,
2019-07-26 02:55,SZX,5798,737-800,29,4,30,0,4,2,30,0,,,,,
2019-07-26 02:51,XIY,5520,737-800,26,4,34,0,4,4,32,0,,,,,
2019-07-26 02:49,HRB,7395,737-800,22,4,30,0,5,6,28,0,,,,,
2019-07-26 02:48,DLC,5483,737-800,29,5,34,0,6,5,34,0,,,,,
2019-07-26 02:46,DLC,1928,737-800,30,4,32,0,6,6,30,0,,,,,
2019-07-26 02:44,KMG,1798,737-800,20,4,23,0,5,5,24,0,,,,,
2019-07-26 02:44,URC,1995,737-800,21,5,28,0,5,5,28,0,,,,,
2019-07-26 02:43,CGO,1587,737-800,29,3,32,0,6,3,32,0,,,,,
2019-07-26 02:42,DLC,1541,737-800,30,5,35,0,3,4,30,0,,,,,
2019-07-26 02:40,DLC,1102,737-800,28,6,30,0,6,5,34,0,,,,,
2019-07-26 02:40,SYX,1733,737-800,27,2,28,0,3,4,29,0,,,,,
2019-07-26 02:39,KMG,5806,737-700,18,0,0,4,0,0,0,4,,,,,
2019-07-26 02:36,CTU,1565,737-700,30,0,0,8,0,0,0,6,,,,,
2019-07-26 02:33,PEK,5371,737-800,25,0,0,0,4,5,29,0,,,,,
2019-07-26 02:32,CGO,7989,737-800,28,6,32,0,6,7,33,0,,,,,
2019-07-26 02:31,URC,1995,737-800,21,5,29,0,5,5,30,0,,,,,
2019-07-26 02:29,HAK,1797,737-800,29,4,35,0,6,5,32,0,,,,,
2019-07-26 02:29,CAN,6061,737-800,30,4,32,0,5,5,32,0,,,,,
2019-07-26 02:29,CAN,5479,737-800,30,9,37,0,8,8,37,0,,,,,
2019-07-26 02:28,URC,1501,737-800,24,3,28,0,4,4,28,0,,,,,
