日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-31 09:57,URC,1569,737-800,27,3,28,0,2,2,30,0,,,,,
2019-07-31 09:56,TSN,5139,737-800,29,4,24,0,4,6,26,0,,,,,
2019-07-31 09:36,HHA,5661,737-800,30,6,36,0,6,6,36,0,,,,,
2019-07-31 09:19,XMN,5346,737-800,28,6,34,0,6,6,33,0,,,,,
2019-07-31 08:50,DLC,1729,737-800,26,5,30,0,4,3,30,0,,,,,
2019-07-31 08:49,DLC,1729,737-800,26,5,30,0,4,3,29,0,,,,,
2019-07-31 08:30,SZX,1487,737-800,30,3,33,0,8,8,36,0,,,,,
2019-07-31 08:28,深圳,7379,737-800,29,4,36,0,4,5,37,0,,,,,
2019-07-31 08:06,URC,1322,737-800,36,3,23,0,2,3,26,0,,,,,
2019-07-31 07:51,昆明,7988,737-800,18,4,20,0,8,8,21,0,,,,,
2019-07-31 07:46,FOC,5430,737-800,28,8,35,0,6,5,37,0,,是,,,
2019-07-31 07:32,314,7988,737-800,20,4,20,0,6,6,21,0,,,,,
2019-07-31 07:26,CAN,5638,737-800,29,5,35,0,6,5,34,0,,,,,
2019-07-31 07:05,KMG,BX5823,737-700,21,0,0,7,0,0,0,6,,,,,
2019-07-31 06:59,ZGC,1728,737-800,20,6,26,0,4,4,24,0,,,,,
2019-07-31 06:58,ZGC,5520,737-800,22,5,24,0,5,6,22,0,,,,,
2019-07-31 06:58,ZGC,5138,737-800,20,4,24,0,5,6,28,0,,,,,
2019-07-31 06:57,ZGC,5709,737-800,20,6,26,0,7,8,22,0,,,,,
2019-07-31 06:56,CAN,1785,737-800,29,6,33,0,8,8,34,0,,,,,
2019-07-31 06:44,XIY,1483,737-800,28,5,30,0,6,5,27,0,,,,,
2019-07-31 06:43,XIY,5115,737-800,26,8,31,0,7,7,30,0,,,,,
2019-07-31 06:28,TYN,5135,737-800,30,3,27,0,2,3,26,0,,,,,
2019-07-31 06:26,PEK,5418,737-800,25,5,25,0,5,5,28,0,,,,,
2019-07-31 06:21,XIY,1162,737-800,30,3,34,0,3,3,34,0,,,,,
2019-07-31 06:19,URC,1570,737-800,27,6,24,0,6,6,26,0,,,,,
2019-07-31 06:11,HHA,5712,737-800,30,3,32,0,4,4,32,0,,,,,
2019-07-31 06:08,5371,PEK,737-800,27,7,28,0,6,5,30,0,,,,,
2019-07-31 06:07,PEK,5797,737-800,26,5,29,0,5,4,28,0,,,,,
2019-07-31 06:03,URC,1325,737-800,30,4,26,0,4,4,26,0,,,,,
2019-07-31 06:01,PEK,5538,737-800,26,3,32,0,3,3,32,0,,,,,
2019-07-31 05:43,CAN,5852,737-800,28,7,36,0,9,9,37,0,,是,,,
2019-07-31 05:42,DLC,5338,737-800,27,3,25,0,6,5,28,0,,,,,
2019-07-31 05:35,HGH,1535,737-800,29,4,33,0,4,3,32,0,,,,,
2019-07-31 05:33,DLC,1497,737-800,23,3,37,0,4,3,35,0,是,是,,,
2019-07-31 05:27,SZX,6060,737-800,29,5,34,0,5,5,32,0,,,,,
2019-07-31 05:21,TYN,5082,737-800,25,4,30,0,4,4,26,0,,,,,
2019-07-31 05:21,XIY,1902,737-800,25,4,22,0,4,4,23,0,,,,,
2019-07-31 05:19,FOC,1498,737-800,30,4,37,0,4,4,34,0,,,,,
2019-07-31 05:15,URC,5620,737-800,28,4,30,0,5,6,29,0,,,,,
2019-07-31 05:13,SZX,6066,737-800,30,6,36,0,6,6,35,0,,,,,
2019-07-31 05:11,HGH,1103,737-800,30,2,35,0,2,2,32,0,,,,,
2019-07-31 04:58,KMG,5805,737-700,20,0,0,6,0,0,0,4,,,,,
2019-07-31 04:57,KMG,7991,737-800,20,4,18,0,4,4,22,0,,,,,
2019-07-31 04:57,KMG,1565,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-31 04:50,FOC,1351,737-800,30,6,36,0,4,3,34,0,,,,,
2019-07-31 04:45,XIY,5686,737-800,25,6,25,0,6,6,25,0,,,,,
2019-07-31 04:42,PEK,1489,737-800,26,4,34,0,4,4,32,0,,,,,
2019-07-31 04:41,SYX,6808,737-800,30,5,34,0,5,4,25,0,,,,,
2019-07-31 04:40,CKG,5662,737-800,28,3,29,0,5,4,28,0,,,,,
2019-07-31 04:35,KMG,5409,737-800,20,6,26,0,4,4,28,0,,,,,
2019-07-31 04:21,KMG,5289,737-700,20,0,0,5,0,0,0,5,,,,,
2019-07-31 04:21,XIY,5733,737-800,30,4,35,0,4,4,32,0,,,,,
2019-07-31 04:17,DLC,1796,737-800,28,4,30,0,4,5,29,0,,,,,
2019-07-31 04:15,HAK,7399,737-800,28,4,32,0,4,3,28,0,,,,,
2019-07-31 04:15,HAK,7399,737-800,28,4,32,0,4,3,28,0,,,,,
2019-07-31 04:14,165,5248,737-700,20,0,0,8,0,0,0,6,,,,,
2019-07-31 04:12,XIY,1373,737-800,26,4,30,0,4,4,26,0,,,,,
2019-07-31 04:08,HHA,5405,737-800,30,8,34,0,5,6,32,0,,,,,
2019-07-31 04:05,KMG,7990,737-800,20,6,24,0,7,8,26,0,,,,,
2019-07-31 03:57,URC,1346,737-800,25,5,30,0,4,6,28,0,,,,,
2019-07-31 03:51,CGO,5449,737-800,26,5,33,0,4,5,30,0,,,,,
2019-07-31 03:50,SYX,1787,737-800,25,1,36,0,1,1,28,0,是,,,,
2019-07-31 03:48,FOC,5503,737-800,29,3,31,0,4,3,30,0,,,,,
2019-07-31 03:47,XIY,1161,737-800,26,7,36,0,6,6,32,0,是,,,,
2019-07-31 03:46,HHA,1927,737-800,30,6,34,0,5,4,32,0,,,,,
2019-07-31 03:46,HHA,5416,737-800,30,7,32,0,7,7,36,0,,,,,
