日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-05-29 02:09,KMG,7988,737-800,20,4,28,5,5,24,,,,,8,4
2019-05-29 02:07,SYX,1541,737-800,29,7,37,5,6,36,,,,,8,7
2019-05-29 02:06,DLC,1347,737-800,18,3,26,3,3,26,,,,,8,8
2019-05-29 02:03,HHA,6065,737-800,25,6,28,4,4,28,,,,,3,3
2019-05-29 02:03,XIY,5116,737-800,15,4,21,4,4,20,,,,,6,5
2019-05-29 02:02,HHA,5466,737-800,24,2,24,6,3,23,,,,,0,-1
2019-05-29 01:57,URC,1323,737-800,18,4,28,5,6,22,,,,,10,4
2019-05-29 01:54,HGH,1215,737-800,20,4,28,5,5,28,,,,,8,8
2019-05-29 01:54,XIY ,5139,737-800,15,6,26,6,4,25,,,,,11,10
2019-05-29 01:53,XIY ,7113,737-800,15,5,26,5,4,25,,,,,11,10
2019-05-29 01:51,URC,1725,737-800,15,4,28,4,4,28,,,,,13,13
2019-05-29 01:49,CAN,1545,737-800,27,4,36,6,6,36,,,,,9,9
2019-05-29 01:46,TYN,5479,737-800,18,3,22,3,4,23,,,,,4,5
2019-05-29 01:44,CGO,1547,737-800,20,6,28,6,6,28,,,,,8,8
2019-05-29 01:44,CGO,1587,737-800,18,3,28,4,3,26,,,,,10,8
2019-05-29 01:36,SZX,1492,737-800,26,4,34,4,4,32,,,,,8,6
2019-05-29 01:32,PEK,5855,737-800,26,6,28,6,6,24,,,,,2,-2
2019-05-29 01:32,大连,1538,737-800,19,4,25,4,4,22,,,,,6,3
2019-05-29 01:30,MIG,5732,737-800,15,4,21,4,5,24,,,,,6,9
2019-05-29 01:30,XIY,5180,737-800,15,6,28,6,4,26,,,,,13,11
2019-05-29 01:28,URC,2157,737-800,16,4,22,8,5,28,,,,,6,12
2019-05-29 01:21,URC,1727,737-800,17,4,26,6,6,24,,,,,9,7
2019-05-29 01:17,HRB,1433,737-800,13,2,25,2,2,18,,,,,12,5
2019-05-29 01:17,CGO,1588,737-800,18,4,28,4,4,28,,,,,10,10
2019-05-29 01:16,FOC,7105,737-800,22,4,28,2,3,24,,,,,6,2
2019-05-29 01:08,HGH,5375,737-800,20,2,20,4,4,22,,,,,0,2
2019-05-29 01:05,HRB,1350,737-800,13,4,26,4,4,22,,,,,13,9
2019-05-29 01:02,515机位,6809,737-800,20,5,25,5,5,25,,,,,5,5
2019-05-29 01:01,104,5462,737-800,26,3,30,4,4,28,,,,,4,2
2019-05-29 00:56,URC,5611,737-800,18,6,28,6,6,25,,,,,10,7
2019-05-29 00:55,HRB,1559,737-800,13,4,28,2,2,20,,,,,15,7
2019-05-29 00:52,YIH,1348,737-800,24,4,31,4,4,32,,,,,7,8
2019-05-29 00:51,DLC,1372,737-800,20,5,28,5,5,24,,,,,8,4
2019-05-29 00:50,HHA,7886,737-800,25,3,30,3,3,31,,,,,5,6
2019-05-29 00:48,URC,5625,737-800,18,4,27,4,4,26,,,,,9,8
2019-05-29 00:46,XIY,5373,737-800,15,4,26,4,4,26,,,,,11,11
2019-05-29 00:45,HGH,1728,737-800,22,3,21,5,5,21,,,,,-1,-1
2019-05-29 00:44,XIY,1163,737-800,15,4,32,2,2,27,,,,,17,12
2019-05-29 00:42,TYN,206G,737-800,22,4,26,4,4,26,,,,,4,4
2019-05-29 00:39,HAK,5089,737-800,25,6,35,6,8,35,,,,,10,10
2019-05-29 00:39,SZX,5638,737-800,25,4,34,5,5,35,,,,,9,10
2019-05-29 00:37,PEK,5406,737-800,24,6,28,6,5,26,,,,,4,2
2019-05-29 00:36,URC,5712,737-800,19,2,25,3,2,23,,,,,6,4
2019-05-29 00:28,DLC,1795,737-800,21,5,26,5,5,26,,,,,5,5
2019-05-29 00:15,PEK,5482,737-800,23,5,23,4,5,25,,,,,0,2
2019-05-29 00:11,URC,1141,737-800,15,4,26,6,6,26,,,,,11,11
2019-05-29 00:10,CGO,205U,737-800,20,4,27,3,4,27,,,,,7,7
2019-05-29 00:07,CGO,6800,737-800,19,4,27,5,5,24,,,,,8,5
2019-05-29 00:05,KHG,1569,737-800,20,3,23,3,2,22,,,,,3,2
2019-05-29 00:04,XIY,1495,737-800,15,5,24,6,6,24,,,,,9,9
2019-05-29 00:03,CAN,1784,737-800,26,4,22,6,5,35,,,,,-4,9
2019-05-29 00:03,HGH,5467,737-800,22,0,26,2,0,23,,,,,4,1
2019-05-29 00:03,XIY,7379,737-800,16,5,23,4,4,25,,,,,7,9
2019-05-29 00:01,URC,5623,737-800,17,6,29,5,5,26,,,,,12,9
2019-05-28 23:58,PEK,1487,737-800,25,3,28,3,4,26,,,,,3,1
2019-05-28 23:57,CKG,7618,737-800,18,5,28,5,5,25,,,,,10,7
2019-05-28 23:56,PEK,7616,737-800,27,3,25,4,4,26,,,,,-2,-1
2019-05-28 23:54,URC,205V,737-800,18,1,30,8,9,32,,,右散热器,右散热器,12,14
2019-05-28 23:53,DLC,1101,737-800,19,2,26,2,2,28,,,,,7,9
2019-05-28 23:49,DLC,1490,737-800,21,4,24,4,4,24,,,,,3,3
2019-05-28 23:48,SYX,206F,737-800,28,4,33,5,5,32,,,,,5,4
2019-05-28 23:47,HAK,1102,737-800,26,3,36,4,4,35,,,,,10,9
2019-05-28 23:42,PEK,5797,737-800,26,5,21,4,5,23,,,,,-5,-3
2019-05-28 23:42,KMG,1208,737-800,18,2,26,2,2,25,,,,,8,7
2019-05-28 23:33,SYX,1498,737-800,30,5,36,5,6,32,,,,,6,2
2019-05-28 23:26,HAK,5082,737-800,25,4,36,4,4,32,,,,,11,7
2019-05-28 23:24,HRB,1433,737-800,13,3,25,2,2,20,,,,,12,7
2019-05-28 23:18,HAK,1489,737-800,26,4,33,5,4,32,,,,,7,6
2019-05-28 23:18,SZX,1386,737-800,26,4,35,4,4,35,,,,,9,9
2019-05-28 23:12,XIY ,7398 ,737-800,20,4,25,7,6,24,,,,,5,4
2019-05-28 23:11,XIY,5405,737-800,17,4,28,4,4,26,,,,,11,9
2019-05-28 23:09,KMG,6015,737-800,19,4,30,4,4,24,,,,,11,5
2019-05-28 23:05,CAN,5580,737-800,26,6,24,6,6,35,,,,,-2,9
2019-05-28 22:49,HAK,206H,737-800,26,2,34,2,2,32,,,,,8,6
2019-05-28 22:47,MIG,5407,737-800,15,4,23,4,4,21,,,,,8,6
2019-05-28 22:46,URC,5636,737-800,20,3,26,4,4,25,,,,,6,5
2019-05-28 22:43,大连,1488,737-800,23,6,26,6,6,26,,,,,3,3
2019-05-28 22:37,HAK,1799,737-800,27,4,35,4,4,33,,,,,8,6
2019-05-28 22:33,SYX,5137,737-800,28,8,34,2,2,35,,,,,6,7
2019-05-28 22:27,HAK,6061,737-800,29,4,34,4,4,34,,,,,5,5
2019-05-28 22:22,TYN,5371,737-800,20,8,20,6,7,22,,,,,0,2
2019-05-28 22:20,URC,2159,737-800,20,2,22,2,2,24,,,,,2,4
2019-05-28 22:15,URC,205T,737-800,23,3,26,3,3,30,,,,,3,7
2019-05-28 21:48,HAK,5338,737-800,25,4,30,4,3,34,,,,,5,9
2019-05-28 21:37,103,6060,737-800,30,4,30,4,4,28,,,,,0,-2
2019-05-28 21:30,XNN,5135,737-800,19,2,21,4,4,22,,,,,2,3
2019-05-28 21:07,徐州,7989,737-800,24,4,34,5,4,30,,,,,10,6
2019-05-28 20:55,FOC,5503,737-800,21,3,25,3,3,25,,,,,4,4
2019-05-28 20:30,DLC,1928,737-800,25,6,24,6,6,22,,,,,-1,-3
2019-05-28 20:30,DLC,6062,737-800,23,3,28,3,3,28,,,,,5,5
2019-05-28 20:15,HAK,5083,737-800,28,4,30,5,4,35,,,,,2,7
2019-05-28 19:49,HHA,5465,737-800,25,2,32,3,3,32,,,,,7,7
2019-05-28 19:41,XIY,1903,737-800,20,1,22,1,2,23,,,,,2,3
2019-05-28 19:25,HGH,5337,737-800,24,4,26,4,4,26,,,,,2,2
2019-05-28 19:09,HAK,5138,737-800,27,5,33,5,4,34,,,,,6,7
2019-05-28 19:00,URC,1322,737-800,22,4,27,4,5,26,,,,,5,4
2019-05-28 18:58,URC,206P,737-800,25,4,23,5,5,22,,,,,-2,-3
2019-05-28 18:55,KMG,7991,737-800,23,6,28,6,6,28,,,,,5,5
2019-05-28 18:41,URC,1570,737-800,23,5,24,5,5,20,,,,,1,-3
2019-05-28 18:41,HAK,5481,737-800,25,5,33,6,5,33,,,,,8,8
2019-05-28 17:33,XIY,5346,737-800,18,5,24,4,5,24,,,,,6,6
2019-05-28 16:29,HAK,5375,737-800,35,8,37,8,8,36,,,,,2,1
2019-05-28 14:31,URC,1325,737-800,20,3,20,3,4,21,,,,,0,1
2019-05-28 14:05,XIY,5153,737-800,18,4,28,4,4,26,,,,,10,8
2019-05-28 14:04,XIY,5153,737-800,18,4,28,4,4,26,,,,,10,8
2019-05-28 11:17,KMG,7167,737-800,19,5,28,5,5,25,,,,,9,6
2019-05-28 11:14,CTU,1208,737-800,25,3,28,3,3,25,,,,,3,0
2019-05-28 08:50,PEK,5483,737-800,24,4,30,6,5,26,,,,,6,2
2019-05-28 08:39,FOC,5503,737-800,25,2,27,0,0,0,,,,,2,-25
2019-05-28 08:39,CAN,1496,737-800,28,7,36,6,6,36,,,,,8,8
2019-05-28 08:37,KMG,1798,737-800,17,5,28,6,6,24,,,,,11,7
2019-05-28 08:33,ZGC,1735,737-800,12,5,20,4,4,18,,,,,8,6
2019-05-28 08:32,DLC,1795,737-800,18,5,24,4,6,24,,,,,6,6
2019-05-28 08:31,ZGC,7400,737-800,10,6,25,6,6,24,,,,,15,14
2019-05-28 08:30,ZGC,7619,737-800,10,9,20,8,9,28,,,,,10,18
2019-05-28 08:28,ZGC,5372,737-800,20,8,23,8,9,20,,,,,3,0
2019-05-28 08:25,ZGC,5502,737-800,11,6,22,5,6,21,,,,,11,10
2019-05-28 08:25,KMG,7990,737-800,20,2,28,3,3,26,,,,,8,6
2019-05-28 08:13,PEK,5538,737-800,17,3,28,3,3,30,,,,,11,13
2019-05-28 07:56,DLC,1215,737-800,18,4,24,4,4,26,,,,,6,8
2019-05-28 07:41,HAK,5082,737-800,25,3,33,4,4,30,,,,,8,5
2019-05-28 07:23,CAN,5478,737-800,26,3,36,2,2,35,1,,,1,10,9
2019-05-28 07:14,PEK,5481,737-800,25,8,28,7,6,26,,,,,3,1
2019-05-28 07:07,XMN,5733,737-800,25,7,30,7,6,33,,,,,5,8
2019-05-28 07:06,XMN,7175,737-800,26,6,34,6,5,32,,,,,8,6
2019-05-28 07:06,XMN,7616,737-800,26,7,36,5,6,35,,,,,10,9
2019-05-28 07:04,XMN,1131,737-800,28,6,34,6,7,36,,,,,6,8
2019-05-28 06:55,PEK,5462,737-800,25,3,20,4,4,22,,,,,-5,-3
2019-05-28 06:50,FOC,7395,737-800,28,6,32,6,6,30,,,,,4,2
2019-05-28 06:44,HAK,1929,737-800,27,4,30,4,3,32,,,,,3,5
2019-05-28 06:35,SYX,1541,737-800,28,6,35,5,6,35,,,,,7,7
2019-05-28 06:30,HAK,5439,737-800,27,5,32,4,3,31,,,,,5,4
2019-05-28 06:19,HAK,5579,737-800,29,7,35,6,7,34,,,,,6,5
2019-05-28 06:15,XIY,5405,737-800,13,5,30,5,4,24,,,,,17,11
2019-05-28 06:13,XIY,1902,737-800,14,5,28,5,5,26,,,,,14,12
2019-05-28 06:12,HGH,5661,737-800,30,2,24,4,4,28,,,,,-6,-2
2019-05-28 06:09,FOC,7395,737-800,28,6,32,6,6,30,,,,,4,2
2019-05-28 05:41,FOC,7105,737-800,26,4,33,5,5,32,,,,,7,6
2019-05-28 05:25,URC,1996,737-800,15,4,10,5,5,23,,,,,-5,8
2019-05-28 05:09,KMG,1586,737-800,20,6,30,6,6,32,,1,,1,10,12
2019-05-28 05:02,FOC,5153,737-800,24,4,36,3,4,34,,,,,12,10
2019-05-28 04:59,PEK,1787,737-800,23,2,28,8,8,36,,1,,1,5,13
2019-05-28 04:59,SZX,1729,737-800,25,6,32,5,5,32,,,,,7,7
2019-05-28 04:58,SZX,5463,737-800,25,4,34,4,4,32,,,,,9,7
2019-05-28 04:56,KMG,7993,737-800,20,6,28,6,6,24,,,,,8,4
2019-05-28 04:48,HHA,1373,737-800,26,4,28,4,4,22,,,,,2,-4
2019-05-28 04:37,PEK,5482,737-800,21,2,24,5,5,30,,,,,3,9
2019-05-28 04:31,HAK,1997,737-800,26,6,36,6,5,32,,,,,10,6
2019-05-28 04:31,XIY,1481,737-800,15,6,30,6,6,26,,,,,15,11
2019-05-28 04:29,XIY,1903,737-800,14,2,26,2,2,26,,,,,12,12
2019-05-28 04:25,CAN,1213,737-800,25,7,36,6,7,36,1,1,,11,11,11
2019-05-28 04:24,PEK ,5539,737-800,20,3,24,3,2,21,,,,,4,1
2019-05-28 04:21,CAN,5580,737-800,28,8,35,7,6,37,,,,,7,9
2019-05-28 04:19,SZX,1346,737-800,28,8,37,6,6,36,1,,,1,9,8
2019-05-28 04:06,FOC,1905,737-800,27,3,22,3,3,28,,,,,-5,1
2019-05-28 04:00,HAK,5089,737-800,27,3,24,1,1,33,,,,,-3,6
2019-05-28 03:55,URC,7198,737-800,17,4,28,4,4,28,,,,,11,11
2019-05-28 03:54,CAN,5713,737-800,27,6,32,7,7,32,,,,,5,5
2019-05-28 03:50,URC,1325,737-800,16,2,24,4,4,24,,,,,8,8
2019-05-28 03:48,TYN,206G,737-800,20,4,24,4,4,22,,,,,4,2
2019-05-28 03:45,TYN,5090,737-800,15,2,22,4,4,24,,,,,7,9
2019-05-28 03:45,CAN,1928,737-800,27,5,28,7,7,32,,,,,1,5
2019-05-28 03:44,XIY,5611,737-800,16,6,30,6,6,24,,,,,14,8
2019-05-28 03:44,CKG,5522,737-800,18,6,26,4,5,26,,,,,8,8
2019-05-28 03:42,XIY,5611,737-800,16,6,30,6,6,24,,,,,14,8
2019-05-28 03:40,HAK,5662,737-800,30,6,35,4,6,35,,,,,5,5
2019-05-28 03:37,HAK,6060,737-800,29,4,34,6,5,32,,,,,5,3
2019-05-28 03:24,CAN,1542,737-800,25,5,34,4,5,32,,,,,9,7
2019-05-28 03:21,DLC,6062,737-800,18,4,24,4,3,24,,,,,6,6
2019-05-28 03:17,CGO,6016,737-800,22,4,24,4,4,2,,,,,2,-20
2019-05-28 03:09,FOC,5503,737-800,25,4,30,4,4,28,,,,,5,3
2019-05-28 03:09,TYN,5338,737-800,20,4,20,4,4,22,,,,,0,2
2019-05-28 03:09,URC,7379,737-800,15,4,28,2,2,26,,,,,13,11
2019-05-28 03:02,XIY,1435,737-800,25,6,30,6,5,32,,,,,5,7
2019-05-28 02:58,HHA,5429,737-800,26,4,30,7,7,37,,1,,1,4,11
2019-05-28 02:57,XIY,1161,737-800,15,3,24,3,3,24,,,,,9,9
2019-05-28 02:54,URC,6995,737-800,10,4,26,6,4,24,,,,,16,14
2019-05-28 02:50,PEK ,7377,737-800,20,2,25,3,4,24,,,,,5,4
2019-05-28 02:49,HGH,1728,737-800,21,4,28,4,4,24,,,,,7,3
2019-05-28 02:48,HGH,5687,737-800,21,4,20,4,4,25,,,,,-1,4
2019-05-28 02:44,SYX,5136,737-800,30,4,32,4,4,36,,,,,2,6
2019-05-28 02:43,TYN,1927,737-800,25,4,20,4,4,22,,,,,-5,-3
2019-05-28 02:35,HHA,5138,737-800,26,4,30,4,4,29,,,,,4,3
2019-05-28 02:35,SYX,206F,737-800,30,3,33,3,4,34,,,,,3,4
2019-05-28 02:34,URC,1569,737-800,17,2,27,2,2,28,,,,,10,11
2019-05-28 02:30,URC,205V,737-800,17,0,28,1,4,27,,,,,11,10
2019-05-28 02:23,XIY,1162,737-800,18,4,26,4,5,25,,,,,8,7
2019-05-28 02:23,URC,5712,737-800,20,2,24,2,1,23,,,,,4,3
2019-05-28 02:23,XIY,5180,737-800,15,6,30,6,6,26,,,,,15,11
2019-05-28 02:23,URC,5623,737-800,17,7,27,6,6,26,,,,,10,9
2019-05-28 02:22,URC,5637,737-800,18,2,26,2,2,26,,,,,8,8
2019-05-28 02:22,URC,1141,737-800,18,5,28,6,6,28,,,,,10,10
2019-05-28 02:21,CAN,5709,737-800,26,6,36,7,6,36,1,1,,11,10,10
2019-05-28 02:21,URC,1570,737-800,18,6,24,6,6,24,,,,,6,6
2019-05-28 02:21,杭州,5428,737-800,21,4,21,4,3,23,,,,,0,2
2019-05-28 02:21,URC,1786,737-800,17,2,24,4,4,20,,,,,7,3
2019-05-28 02:19,KMG,1588,737-800,19,4,26,4,4,27,,,,,7,8
2019-05-28 02:10,HAK,6060,737-800,29,34,4,6,5,32,,,,,-25,3
2019-05-28 02:10,FOC,7395,737-800,28,6,32,6,6,32,,,,,4,4
2019-05-28 02:08,URC,5853,737-800,20,4,29,4,5,25,,,,,9,5
2019-05-28 02:05,XIY,5182,737-800,15,3,12,4,4,14,,,,,-3,-1
2019-05-28 02:05,XIY,5116,737-800,15,4,22,4,4,22,,,,,7,7
2019-05-28 02:03,HHA,5465,737-800,27,3,28,2,2,30,,,,,1,3
2019-05-28 02:01,HAK,5371,737-800,25,8,30,6,6,32,,,,,5,7
2019-05-28 01:58,SYX,5417,737-800,28,4,32,5,5,34,,,,,4,6
2019-05-28 01:57,HGH,5337,737-800,21,4,26,5,4,29,,,,,5,8
2019-05-28 01:55,HGH,1375,737-800,20,6,20,4,6,24,,,,,0,4
2019-05-28 01:52,SYX,1498,737-800,29,6,35,5,6,33,,,,,6,4
2019-05-28 01:52,CAN,5418,737-800,26,7,30,4,4,30,,,,,4,4
2019-05-28 01:52,HAK,1102,737-800,27,3,34,4,4,35,,,,,7,8
2019-05-28 01:51,DLC,1488,737-800,19,6,27,6,6,24,,,,,8,5
2019-05-28 01:49,CKG,5416,737-800,20,8,30,8,8,30,,,,,10,10
2019-05-28 01:48,URC,2159,737-800,18,3,18,2,2,22,,,,,0,4
2019-05-28 01:47,HAK,1492,737-800,30,3,33,4,4,31,,,,,3,1
2019-05-28 01:44,XIY,5139,737-800,15,2,26,5,3,24,,,,,11,9
2019-05-28 01:42,HRB,1559,737-800,14,4,23,3,3,21,,,,,9,7
2019-05-28 01:37,YIH,1906,737-800,22,5,28,4,6,29,,,,,6,7
2019-05-28 01:35,YIH,1348,737-800,23,6,27,5,4,28,,,,,4,5
2019-05-28 01:30,SZX,5638,737-800,26,6,36,6,6,36,,,,,10,10
2019-05-28 01:27,HAK,1489,737-800,30,4,33,4,4,33,,,,,3,3
2019-05-28 01:26,HAK,1796,737-800,27,4,35,4,4,0,,,,,8,-27
2019-05-28 01:23,DLC,1538,737-800,18,2,24,4,4,22,,,,,6,4
2019-05-28 01:23,URC,1725,737-800,17,4,30,6,6,32,,1,,1,13,15
2019-05-28 01:22,CAN,7173,737-800,29,4,36,6,5,34,,,,,7,5
2019-05-28 01:22,XIY,1548,737-800,16,4,24,4,4,22,,,,,8,6
2019-05-28 01:21,XIY,1549,737-800,19,5,28,6,5,26,,,,,9,7
2019-05-28 01:19,HGH,5408,737-800,22,4,27,4,3,24,,,,,5,2
2019-05-28 01:19,CGO,1587,737-800,24,2,28,4,4,26,,,,,4,2
2019-05-28 01:16,HHA,7886,737-800,26,3,31,3,3,30,,,,,5,4
2019-05-28 01:11,CAN,5709,737-800,27,36,6,9,8,37,,,,,-21,10
2019-05-28 01:10,KMG,7989,737-800,20,5,28,5,5,26,,,,,8,6
2019-05-28 01:06,SYX,7618,737-800,28,5,34,6,5,33,,,,,6,5
2019-05-28 01:06,CAN,5521,737-800,27,5,30,4,5,30,,,,,3,3
2019-05-28 01:04,HRB,1433,737-800,14,3,24,3,4,24,,,,,10,10
2019-05-28 01:01,绵阳,6809,737-800,18,5,24,6,6,24,,,,,6,6
2019-05-28 01:00,URC,206P,737-800,19,5,27,5,4,25,,,,,8,6
2019-05-28 01:00,XIY,5346,737-800,17,5,24,4,5,20,,,,,7,3
2019-05-28 00:59,FOC,5430,737-800,27,5,36,5,6,35,,,,,9,8
2019-05-28 00:56,PEK,5520,737-800,20,5,28,6,6,32,,,,,8,12
2019-05-28 00:55,HAK,5579,737-800,27,8,37,6,7,36,,,,,10,9
2019-05-28 00:55,FOC,5430,737-800,27,6,37,7,7,37,,,左TCV,左TCV,10,10
2019-05-28 00:53,SYX,5369,737-800,30,8,36,6,4,34,,,,,6,4
2019-05-28 00:50,PEK,1493,737-800,21,8,31,8,8,24,,,,,10,3
2019-05-28 00:47,HAK,5798,737-800,27,2,31,3,2,29,,,,,4,2
2019-05-28 00:43,HAK,6065,737-800,27,5,35,5,6,29,,,,,8,2
2019-05-28 00:33,HHA,6103,737-800,27,6,30,5,5,31,,,,,3,4
2019-05-28 00:33,URC,1322,737-800,17,3,27,4,4,25,,,,,10,8
2019-05-28 00:27,MIG,5732,737-800,18,2,25,4,5,23,,,,,7,5
2019-05-28 00:23,KHG,205T,737-800,16,3,24,2,3,23,,,,,8,7
2019-05-28 00:20,CAN,1545,737-800,27,6,32,4,4,32,,,,,5,5
2019-05-28 00:13,HAK,5540,737-800,25,8,36,6,6,36,1,,,1,11,11
2019-05-28 00:13,URC,1726,737-800,18,2,26,2,4,24,,,,,8,6
2019-05-28 00:09,XIY,1785,737-800,25,0,28,8,8,27,,,,,3,2
2019-05-28 00:03,KMG,7991,737-800,20,6,27,6,5,26,,,,,7,6
2019-05-28 00:02,CGO,7992,737-800,23,5,26,6,6,26,,,,,3,3
2019-05-27 23:51,DLC,1347,737-800,19,4,27,4,4,26,,,,,8,7
2019-05-27 23:51,SZX,1130,737-800,27,1,36,2,2,36,,,,,9,9
2019-05-27 23:45,CGO,1209,737-800,25,3,31,2,2,28,,,,,6,3
2019-05-27 23:42,HAK,206H,737-800,26,4,33,2,3,30,,,,,7,4
2019-05-27 23:37,XIY,7639,737-800,15,6,30,6,6,24,,,,,15,9
2019-05-27 23:29,SZX,1503,737-800,27,4,32,4,4,34,,,,,5,7
2019-05-27 23:26,XNN,1103,737-800,11,4,28,4,4,20,,,,,17,9
2019-05-27 23:23,PEK,5797,737-800,24,5,19,6,6,28,,,,,-5,4
2019-05-27 23:21,HRB,1562,737-800,14,4,24,4,3,25,,,,,10,11
2019-05-27 23:20,HHA,6808,737-800,27,4,30,5,4,28,,,,,3,1
2019-05-27 23:18,HAK,5735,737-800,26,5,34,4,5,35,,,,,8,9
2019-05-27 23:15,DLC,1372,737-800,18,5,27,4,4,25,,,,,9,7
2019-05-27 23:13,HAK,6061,737-800,30,3,32,6,5,30,,,,,2,0
2019-05-27 23:11,HAK,1799,737-800,28,5,34,4,5,32,,,,,6,4
2019-05-27 23:11,HAK,1487,737-800,25,4,34,3,3,32,,,,,9,7
2019-05-27 23:11,DLC,5852,737-800,20,4,24,3,3,24,,,,,4,4
2019-05-27 23:10,CGO,1733,737-800,20,4,27,4,4,26,,,,,7,6
2019-05-27 23:08,DLC,1491,737-800,18,4,24,4,5,24,,,,,6,6
2019-05-27 23:06,HAK,7988,737-800,28,4,31,4,4,32,,,,,3,4
2019-05-27 23:01,CGO,205U,737-800,26,4,28,4,4,28,,,,,2,2
2019-05-27 22:53,HAK,1487,737-800,25,4,34,3,3,32,,,,,9,7
2019-05-27 22:51,URC,1727,737-800,17,5,26,6,5,23,,,,,9,6
2019-05-27 22:47,HHA,5466,737-800,26,2,23,7,8,26,,,,,-3,0
2019-05-27 22:40,SYX,5137,737-800,30,8,30,4,4,36,,,,,0,6
2019-05-27 22:31,绵阳,5449,737-800,19,6,28,6,6,26,,,,,9,7
2019-05-27 22:28,HGH,1101,737-800,24,2,32,2,2,30,,,,,8,6
2019-05-27 22:26,TSN,5478,737-800,23,4,28,6,5,26,,,,,5,3
2019-05-27 22:25,URC,1568,737-800,19,5,30,6,6,26,,,,,11,7
2019-05-27 22:24,DLC,1490,737-800,18,5,26,5,5,24,,,,,8,6
2019-05-27 22:23,HAK,5358,737-800,25,9,37,8,9,36,1,1,,11,12,11
2019-05-27 22:21,XNN,1103,737-800,18,4,28,4,4,20,,,,,10,2
2019-05-27 22:20,XIY,1793,737-800,16,2,22,2,4,24,,,,,6,8
2019-05-27 22:14,XIY,7398,737-800,15,4,28,4,4,28,,,,,13,13
2019-05-27 21:53,CGO,6800,737-800,20,4,24,4,4,24,,,,,4,4
2019-05-27 21:52,HAK,5855,737-800,25,7,33,7,7,29,,,,,8,4
2019-05-27 21:49,HAK,5089,737-800,28,4,25,2,2,33,,,,,-3,5
2019-05-27 21:34,HAK,5083,737-800,29,4,32,4,5,34,,,,,3,5
2019-05-27 21:32,XNN,5135,737-800,19,3,22,3,3,20,,,,,3,1
2019-05-27 21:12,URC,1323,737-800,20,2,23,3,3,22,,,,,3,2
2019-05-27 20:54,XIY,1495,737-800,17,6,28,8,8,24,,,,,11,7
2019-05-27 20:01,KMG,5409,737-800,25,4,24,5,4,28,,,,,-1,3
2019-05-27 19:54,HHA,7172,737-800,28,3,30,5,4,30,,,,,2,2
2019-05-27 19:40,URC,6268,737-800,20,2,20,2,3,22,,,,,0,2
2019-05-27 19:23,YIH,1351,737-800,24,6,28,6,6,28,,,,,4,4
2019-05-27 19:06,HRB,1350,737-800,27,4,27,5,5,26,,,,,0,-1
2019-05-27 18:55,SZX,5620,737-800,27,6,37,3,5,33,1,,,1,10,6
2019-05-27 18:51,XIY,1482,737-800,17,6,28,4,4,26,,,,,11,9
2019-05-27 18:48,XUZ,6015,737-800,30,4,32,4,4,34,,,,,2,4
2019-05-27 17:49,HAK,1480,737-800,34,5,34,5,4,31,,,,,0,-3
2019-05-27 17:28,SZX,1386,737-800,28,3,34,4,4,30,,,,,6,2
2019-05-27 17:11,TYN,5636,737-800,24,4,25,4,5,25,,,,,1,1
2019-05-27 16:27,HHA,5465,737-800,32,3,29,4,3,31,,,,,-3,-1
2019-05-27 16:02,PEK,5538,737-800,27,9,37,4,3,31,1,,,1,10,4
2019-05-27 15:43,HAK,7399,737-800,34,5,32,5,4,30,,,,,-2,-4
2019-05-27 15:09,XIY,5373,737-800,21,6,30,8,8,24,,,,,9,3
2019-05-27 13:27,TYN,5636,737-800,23,5,25,5,5,24,,,,,2,1
2019-05-27 11:21,KMG,7167,737-800,22,4,18,4,4,26,,,,,-4,4
2019-05-27 09:18,XMN,5467,737-800,25,4,30,4,6,24,,,,,5,-1
2019-05-27 09:17,HAK,1346,737-800,27,8,36,7,6,32,,,,,9,5
2019-05-27 09:17,XMN,6808,737-800,25,8,34,6,8,32,,,,,9,7
2019-05-27 09:17,HAK,5662,737-800,28,4,33,5,6,28,,,,,5,0
2019-05-27 09:16,XMN,5502,737-800,25,6,34,6,5,32,,,,,9,7
2019-05-27 09:16,XMN,1787,737-800,24,2,36,3,3,35,,,,,12,11
2019-05-27 09:16,PEK,5428,737-800,30,5,27,6,5,29,,,,,-3,-1
2019-05-27 09:07,HAK,1798,737-800,28,6,36,6,6,31,,,,,8,3
2019-05-27 09:02,KMG,7991,737-800,20,6,25,6,6,26,,,,,5,6
2019-05-27 08:53,HAK,1783,737-800,27,4,20,5,5,37,,,,,-7,10
2019-05-27 08:25,HAK,5522,737-800,26,9,36,8,9,35,1,,,1,10,9
2019-05-27 08:11,FOC,1480,737-800,25,5,29,5,5,29,,,,,4,4
2019-05-27 07:52,PEK,1493,737-800,21,6,24,6,6,24,,,,,3,3
2019-05-27 07:26,PEK,5709,737-800,21,6,28,6,6,30,,,,,7,9
2019-05-27 07:23,KMG,5732,737-800,20,4,26,4,4,26,,,,,6,6
2019-05-27 07:20,ZGC,7175,737-800,13,8,20,5,5,19,,,,,7,6
2019-05-27 07:15,PEK,1489,737-800,20,4,28,4,4,28,,,,,8,8
