日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-06-21 02:57,SZC,1346,737-800,29,4,35,5,5,35,,,,,6,6
2019-06-21 02:54,FOC,1906,737-800,30,7,36,8,7,36,,,,,6,6
2019-06-21 02:53,XIY,1481,737-800,22,6,30,6,6,32,,,,,8,10
2019-06-21 02:49,HHA,5709,737-800,30,10,39,10,11,39,1,1,,11,9,9
2019-06-21 02:47,HAK,5416,737-800,29,4,33,4,4,34,,,,,4,5
2019-06-21 02:47,CTU,1209,737-800,28,5,36,4,5,32,,,,,8,4
2019-06-21 02:44,HAK,5579,737-800,29,5,32,8,9,33,,,,,3,4
2019-06-21 02:43,XIY,1795,737-800,22,4,35,6,7,36,1,1,,11,13,14
2019-06-21 02:43,XIY,5180,737-800,20,6,32,8,8,34,,,,,12,14
2019-06-21 02:43,INC,1483,737-800,19,4,26,8,8,30,,,,,7,11
2019-06-21 02:42,HHA,5521,737-800,30,6,33,7,7,34,,,,,3,4
2019-06-21 02:41,XIY,1797,737-800,20,4,28,4,4,26,,,,,8,6
2019-06-21 02:37,SYX,5083,737-800,31,7,28,7,7,35,,,,,-3,4
2019-06-21 02:37,URC,1727,737-800,22,4,30,4,6,30,,,,,8,8
2019-06-21 02:34,CGO,7992,737-800,23,6,33,6,6,34,,,,,10,11
2019-06-21 02:32,SZX,7619,737-800,25,6,32,6,6,34,,,,,7,9
2019-06-21 02:30,URC,1725,737-800,22,4,28,2,2,26,,,,,6,4
2019-06-21 02:30,SYX,5439,737-800,30,7,36,7,6,36,,,,,6,6
2019-06-21 02:29,SZX,1372,737-800,30,6,37,7,6,36,,,,,7,6
2019-06-21 02:24,XIY,1902,737-800,20,5,30,5,5,26,,,,,10,6
2019-06-21 02:24,HGH,5712,737-800,24,2,28,2,2,24,,,,,4,0
2019-06-21 02:19,URC,1322,737-800,20,2,26,3,3,27,,,,,6,7
2019-06-21 02:19,SZX,5429,737-800,30,5,34,7,7,36,,,,,4,6
2019-06-21 02:16,PEK,5580,737-800,28,6,38,4,4,36,,,,,10,8
2019-06-21 02:16,CAN,7379,737-800,30,4,36,4,4,36,,,,,6,6
2019-06-21 02:15,URC,1325,737-800,24,4,26,4,4,22,,,,,2,-2
2019-06-21 02:10,XIY,1548,737-800,30,4,30,4,4,26,,,,,0,-4
2019-06-21 02:09,HAK,5139,737-800,29,8,31,8,7,34,,,,,2,5
2019-06-21 02:01,HAK,1215,737-800,29,7,35,8,7,34,,,,,6,5
2019-06-21 02:01,TYN,5372,737-800,25,6,26,6,7,27,,,,,1,2
2019-06-21 02:00,CGO,1587,737-800,23,5,29,4,4,27,,,,,6,4
2019-06-21 01:56,CGO,1586,737-800,24,4,30,4,4,24,,,,,6,0
2019-06-21 01:55,HGH,5637,737-800,24,4,34,2,2,32,,,,,10,8
2019-06-21 01:53,URC,5467,737-800,24,4,27,5,5,23,,,,,3,-1
2019-06-21 01:52,URAC,5611,737-800,21,4,24,4,4,26,,,,,3,5
2019-06-21 01:45,KMG,7993,737-800,20,6,28,6,6,26,,,,,8,6
2019-06-21 01:45,HRB,1562,737-800,17,4,24,4,5,26,,,,,7,9
2019-06-21 01:45,HAK,1491,737-800,29,6,36,6,6,36,,,,,7,7
2019-06-21 01:45,HAK,7378,737-800,29,6,35,6,5,35,,,,,6,6
2019-06-21 01:45,HRB,1559,737-800,16,2,25,3,3,24,,,,,9,8
2019-06-21 01:44,HAK,1735,737-800,29,8,35,5,6,32,,,,,6,3
2019-06-21 01:43,HGH,5138,737-800,24,4,34,4,4,29,,,,,10,5
2019-06-21 01:43,HAK,5466,737-800,30,6,34,8,7,32,,,,,4,2
2019-06-21 01:42,CKG,6065,737-800,26,4,34,5,5,34,,,,,8,8
2019-06-21 01:42,XIY,1163,737-800,21,3,30,2,2,30,,,,,9,9
2019-06-21 01:22,SYX,5686,737-800,30,5,35,6,6,37,,,,,5,7
2019-06-21 01:22,TYN,1996,737-800,27,4,25,4,4,26,,,,,-2,-1
2019-06-21 01:20,MIG,6809,737-800,20,6,30,6,7,32,,,,,10,12
2019-06-21 01:16,HAK,6060,737-800,30,7,36,5,4,36,,,,,6,6
2019-06-21 01:16,HAK,7175,737-800,30,4,30,4,4,30,,,,,0,0
2019-06-21 01:13,PEK,5623,737-800,26,6,36,6,8,28,1,,,1,10,2
2019-06-21 01:12,HAK,1545,737-800,35,7,35,6,6,33,,,,,0,-2
2019-06-21 01:12,YIH,1433,737-800,27,3,35,4,4,30,,,,,8,3
2019-06-21 01:09,HHA,1549,737-800,30,7,35,8,7,36,,,,,5,6
2019-06-21 01:08,HRB,1905,737-800,18,5,28,5,5,24,,,,,10,6
2019-06-21 01:07,CGO,5371,737-800,23,6,28,6,6,29,,,,,5,6
2019-06-21 01:06,URC,1995,737-800,21,6,30,6,5,30,,,,,9,9
2019-06-21 01:01,HAK,1501,737-800,35,7,35,7,6,35,,,,,0,0
2019-06-21 00:50,URC,205T,737-800,22,2,28,2,2,28,,,,,6,6
2019-06-21 00:50,URC,1996,737-800,21,6,30,6,5,30,,,,,9,9
2019-06-21 00:50,HAK,1141,737-800,30,8,36,7,7,32,,,,,6,2
2019-06-21 00:48,CAN,5337,737-800,30,6,36,5,4,35,,,,,6,5
2019-06-21 00:47,YIH,1351,737-800,25,5,30,6,5,30,,,,,5,5
2019-06-21 00:46,XIY,5522,737-800,21,4,30,6,5,25,,,,,9,4
2019-06-21 00:39,SYX,5359,737-800,30,7,36,7,6,36,,,,,6,6
2019-06-21 00:39,URC,1568,737-800,23,6,30,6,6,26,,,,,7,3
2019-06-21 00:38,HAK,5636,737-800,29,6,35,5,5,34,,,,,6,5
2019-06-21 00:36,URC,7377,737-800,21,6,20,4,3,21,,,,,-1,0
2019-06-21 00:35,绵阳,5732,737-800,25,4,30,4,4,32,,,,,5,7
2019-06-21 00:32,SZX,7171,737-800,28,6,32,5,4,32,,,,,4,4
2019-06-21 00:28,CAN,1130,737-800,30,3,36,2,2,36,,,,,6,6
2019-06-21 00:25,HGH,1538,737-800,24,3,35,6,3,36,1,1,,11,11,12
2019-06-21 00:18,FOC,5430,737-800,30,6,36,6,5,36,,,,,6,6
2019-06-21 00:16,HRB,7105,737-800,18,3,27,4,4,23,,,,,9,5
2019-06-21 00:12,SZX,206H,737-800,30,4,35,4,3,36,,,,,5,6
2019-06-21 00:09,YIH,1359,737-800,29,7,34,5,5,35,,,,,5,6
2019-06-20 23:59,DLC,1786,737-800,22,4,30,4,4,24,,,,,8,2
2019-06-20 23:53,SYX,5478,737-800,30,6,36,5,6,35,,,,,6,5
