日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-30 15:26,FOC,5430,737-800,30,6,41,0,6,6,36,0,是,,,,
2019-07-30 15:26,FOC,5430,737-800,30,6,37,0,6,6,37,0,,,,,
2019-07-30 15:21,FOC,5430,737-800,30,6,41,0,6,6,37,0,,,,,
2019-07-30 11:14,CTU,6800,737-800,27,4,32,0,4,3,30,0,,,,,
2019-07-30 09:37,HAK,6063,737-800,30,6,34,0,4,4,36,0,,,,,
2019-07-30 09:33,HAK,6063,737-800,30,6,34,0,4,4,36,0,,,,,
2019-07-30 09:07,URC,205U,737-800,25,2,28,0,3,3,27,0,,,,,
2019-07-30 08:59,PEK,6061,737-800,25,4,24,0,4,4,24,0,,,,,
2019-07-30 08:47,PEK ,5712,737-800,25,3,30,0,2,2,28,0,,,,,
2019-07-30 08:46,SZX,5373,737-800,30,6,34,0,8,8,36,0,,,,,
2019-07-30 08:34,SZX,1503,737-800,30,6,36,0,7,7,37,0,,,,,
2019-07-30 08:31,PEK,1102,737-800,28,5,32,0,5,6,37,0,,,,,
2019-07-30 08:25,MIG,5732,737-800,28,4,30,0,4,4,30,0,,,,,
2019-07-30 08:25,MIG,1798,737-800,28,4,34,0,4,5,29,0,,,,,
2019-07-30 08:24,MIG,7989,737-800,28,6,32,0,8,8,30,0,,,,,
2019-07-30 08:24,HAK,5083,737-800,29,4,28,0,5,5,34,0,,,,,
2019-07-30 07:59,CKG,5735,737-800,26,4,30,0,3,2,28,0,,,,,
2019-07-30 07:52,URC,1569,737-800,26,2,28,0,2,2,28,0,,,,,
2019-07-30 07:44,CGO,5580,737-800,30,8,35,0,8,7,35,0,,,,,
2019-07-30 07:42,CKG,7616,737-800,30,4,34,0,4,4,32,0,,,,,
2019-07-30 07:39,SYX,7400,737-800,28,4,34,0,4,5,34,0,,,,,
2019-07-30 07:36,CKG,7616,737-800,27,6,28,0,4,4,27,0,,,,,
2019-07-30 07:32,KMG,1565,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-30 07:31,FOC,5430,737-800,30,6,37,0,6,6,37,0,,,,,
2019-07-30 07:25,CGO,5137,737-800,30,6,36,0,3,3,32,0,,,,,
2019-07-30 07:08,HAK,1502,737-800,29,4,30,0,4,4,34,0,,,,,
2019-07-30 07:04,FOC,1906,737-800,30,7,34,0,7,6,32,0,,,,,
2019-07-30 07:00,ZGC,1386,737-800,20,3,24,0,4,3,22,0,,,,,
2019-07-30 06:59,ZGC,5709,737-800,20,5,27,0,4,6,25,0,,,,,
2019-07-30 06:59,ZGC,6808,737-800,25,6,27,0,5,4,26,0,,,,,
