日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-20 10:16,XIY,5579,737-800,25,6,30,0,4,4,30,0,,,,,
2019-07-20 10:14,XIY,5180,737-800,25,6,30,0,4,4,30,0,,,,,
2019-07-20 09:53,KMG,7988,737-800,21,4,26,0,5,4,28,0,,,,,
2019-07-20 09:43,XMN,1141,737-800,26,5,36,0,5,5,22,0,,,,,
2019-07-20 09:42,XMN,5580,737-800,30,7,35,0,6,7,33,0,,,,,
2019-07-20 09:42,XMN,7618,737-800,23,6,33,0,7,5,32,0,,,,,
2019-07-20 09:41,XMN,7379,737-800,28,6,37,0,4,2,36,0,是,,,,
2019-07-20 09:31,XIY,6103,737-800,25,5,30,0,6,5,29,0,,,,,
2019-07-20 09:30,XIY,1725,737-800,25,4,32,0,4,4,31,0,,,,,
2019-07-20 09:17,KMG,5810,737-700,21,0,0,4,0,0,0,5,,,,,
2019-07-20 09:12,KMG,5288,737-700,21,0,0,5,0,0,0,4,,,,,
2019-07-20 09:03,URC,206P,737-800,29,4,26,0,5,5,26,0,,,,,
2019-07-20 08:56,P?E?K,6065,737-800,27,5,37,0,5,5,28,0,是,,,,
2019-07-20 08:48,PEK,7378,737-800,25,4,32,0,6,6,32,0,,,,,
2019-07-20 08:48,HAK,5581,737-800,30,8,35,0,6,6,35,0,,,,,
2019-07-20 08:46,ＸＮＮ,1213,737-800,18,5,23,0,4,5,24,0,,,,,
2019-07-20 08:45,HAK,6060,737-800,30,6,34,0,6,6,34,0,,,,,
2019-07-20 08:00,XIY,1481,737-800,24,5,32,0,5,4,32,0,,,,,
2019-07-20 07:59,XIY,5139,737-800,24,4,23,0,5,4,28,0,,,,,
2019-07-20 07:51,XIY,6103,737-800,25,5,30,0,6,5,29,0,,,,,
2019-07-20 07:15,HAK,5137,737-800,30,8,37,0,5,4,36,0,,,,,
2019-07-20 07:14,HAK,1548,737-800,30,4,35,0,4,4,30,0,,,,,
2019-07-20 07:12,HAK,5137,737-800,29,0,0,0,4,5,36,0,,,,,
2019-07-20 07:09,CAN,5418,737-800,27,7,28,0,5,5,34,0,,,,,
