日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-09-01 11:59,XMN,1726,737-800,28,4,32,0,4,4,30,0,,,,,
2019-09-01 11:58,XMN,7399,737-800,28,5,32,0,4,4,34,0,,,,,
2019-09-01 11:57,XMN,1130,737-800,28,4,32,0,4,4,30,0,,,,,
2019-09-01 11:56,XMN,1501,737-800,28,4,32,0,4,4,34,0,,,,,
2019-09-01 11:30,CTU,7993,737-800,25,5,30,0,7,5,27,0,,,,,
2019-09-01 09:38,KMG,7167,737-800,16,5,26,0,5,5,21,0,,,,,
2019-09-01 09:36,绵阳,6800,737-800,23,4,30,0,4,4,28,0,,,,,
2019-09-01 09:11,SYX,5462,737-800,29,5,31,0,5,5,32,0,,,,,
2019-09-01 07:52,XIY,1482,737-800,20,5,22,0,4,4,21,0,,,,,
2019-09-01 06:48,TYN,7618,737-800,20,5,26,0,6,6,26,0,,,,,
2019-09-01 06:26,ZGC,7172,737-800,20,4,26,0,6,6,24,0,,,,,
2019-09-01 06:26,HGH,5520,737-800,25,4,32,0,4,4,30,0,,,,,
2019-09-01 06:25,ZGC,5481,737-800,15,6,26,0,6,6,24,0,,,,,
2019-09-01 06:24,ZGC,1725,737-800,17,6,25,0,5,6,24,0,,,,,
2019-09-01 06:11,HAK,5428,737-800,27,4,34,0,5,4,35,0,,,,,
2019-09-01 06:11,HAK,5428,737-800,27,4,34,0,5,4,35,0,,,,,
2019-09-01 05:57,XIY,5153,737-800,21,2,28,0,4,3,22,0,,,,,
2019-09-01 05:28,FOC,1906,737-800,27,5,34,0,5,6,32,0,,,,,
2019-09-01 05:27,FOC,1906,737-800,27,6,36,0,5,6,32,0,,,,,
2019-09-01 05:18,TYN,1213,737-800,20,6,26,0,5,5,26,0,,,,,
2019-09-01 05:14,XIY,5418,737-800,20,3,22,0,3,4,24,0,,,,,
2019-09-01 05:04,KMG,7167,737-800,16,26,0,0,5,5,21,0,,,,,
2019-09-01 04:59,SZX,5416,737-800,27,7,31,0,7,7,33,0,,,,,
2019-09-01 04:55,XIY,5713,737-800,20,5,20,0,4,4,25,0,,,,,
2019-09-01 04:47,CTU,5823,737-700,20,0,0,4,0,0,0,5,,,,,
2019-09-01 04:46,XIY,1161,737-800,20,4,28,0,4,4,30,0,,,,,
2019-09-01 04:46,昆明,6015,737-800,20,5,26,0,6,6,27,0,,,,,
2019-09-01 04:26,PEK,5521,737-800,23,4,26,0,0,0,20,0,,,,,
2019-09-01 04:25,URC,5581,737-800,25,4,20,0,6,4,28,0,,,,,
2019-09-01 04:25,XIY,1505,737-800,20,4,20,0,4,4,24,0,,,,,
2019-09-01 04:13,CAN,5137,737-800,27,5,34,0,3,3,32,0,,,,,
2019-09-01 04:04,XIY,5798,737-800,20,5,27,0,4,4,25,0,,,,,
2019-09-01 04:02,XIY,7398,737-800,20,4,28,0,4,4,28,0,,,,,
2019-09-01 03:55,CAN,5522,737-800,30,4,34,0,4,4,34,0,,,,,
2019-09-01 03:47,URC ,5480,737-800,26,3,28,0,6,3,24,0,,,,,
