日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-09-29 10:06,XMN,1785,737-800,28,1,30,0,8,7,31,0,,,,,
2019-09-29 10:05,XMN,5462,737-800,28,4,30,0,9,8,37,0,,是,,,
2019-09-29 09:55,XMN,5520,737-800,27,5,32,0,7,8,36,0,,是,,,
2019-09-29 09:54,XMN,1489,737-800,26,4,31,0,4,4,30,0,,,,,
2019-09-29 08:15,HGH,1495,737-800,25,4,29,0,4,4,28,0,,,,,
2019-09-29 08:03,HAK,1487,737-800,24,2,30,0,3,3,31,0,,,,,
2019-09-29 08:02,HAK,1927,737-800,27,4,31,0,6,3,30,0,,,,,
2019-09-29 07:56,SZX,1496,737-800,28,5,33,0,5,6,34,0,,,,,
2019-09-29 07:41,MIG ,5732,737-800,22,3,29,0,3,3,25,0,,,,,
2019-09-29 07:14,PEK,1213,737-800,21,5,20,0,5,5,28,0,,,,,
2019-09-29 07:07,ZGC,5141,737-800,15,6,21,0,5,7,23,0,,,,,
2019-09-29 06:57,PEK ,1213,737-800,20,5,28,0,5,5,28,0,,,,,
2019-09-29 06:37,PEK,5687,737-800,17,4,24,0,2,2,24,0,,,,,
2019-09-29 06:31,CGO,7990,737-800,21,4,27,0,4,5,28,0,,,,,
2019-09-29 06:30,CGO,1538,737-800,25,3,27,0,5,3,0,0,,,,,
2019-09-29 06:27,MIG,1798,737-800,23,2,24,0,2,2,24,0,,,,,
2019-09-29 06:27,MIG,7988,737-800,25,2,24,0,2,2,24,0,,,,,
2019-09-29 05:49,XIY,1162,737-800,20,2,28,0,3,3,28,0,,,,,
2019-09-29 05:34,SZX,5636,737-800,27,7,34,0,7,5,32,0,,,,,
2019-09-29 05:34,PVG,6061,737-800,24,3,31,0,4,4,30,0,,,,,
2019-09-29 05:32,URC,7639,737-800,22,6,30,0,6,6,28,0,,,,,
2019-09-29 05:10,HHA,5408,737-800,23,4,32,0,6,4,34,0,,,,,
2019-09-29 05:09,CAN,6066,737-800,26,6,32,0,6,6,30,0,,,,,
2019-09-29 05:08,FOC,1435,737-800,25,6,31,0,5,5,25,0,,,,,
2019-09-29 04:51,KMG,5288,737-700,19,0,0,9,0,0,0,9,,,,,
2019-09-29 04:49,SYX,5483,737-800,27,6,36,0,5,5,31,0,是,,,,
2019-09-29 04:46,XIY,1163,737-800,20,4,26,0,4,4,24,0,,,,,
2019-09-29 04:45,XIY,1542,737-800,20,3,28,0,5,3,22,0,,,,,
2019-09-29 04:42,CAN,5662,737-800,25,3,28,0,3,6,29,0,,,,,
2019-09-29 04:39,URC,1929,737-800,22,4,26,0,4,4,26,0,,,,,
2019-09-29 04:36,URC,5712,737-800,22,2,24,0,9,9,18,0,,,,,
2019-09-29 04:33,FOC,5430,737-800,26,6,34,0,6,5,33,0,,,,,
2019-09-29 04:33,CAN,1735,737-800,25,6,29,0,6,6,30,0,,,,,
2019-09-29 04:15,KMG,7993,737-800,20,5,23,0,5,6,22,0,,,,,
2019-09-29 04:14,URC ,1568,737-800,22,6,30,0,4,6,30,0,,,,,
2019-09-29 04:12,DLC,5405,737-800,25,5,28,0,4,6,28,0,,,,,
2019-09-29 03:47,XIY,1163,737-800,20,4,26,0,4,4,24,0,,,,,
2019-09-29 03:47,CTU,5823,737-700,24,0,0,8,0,0,0,8,,,,,
2019-09-29 03:47,HGH,1799,737-800,24,4,30,0,4,4,30,0,,,,,
2019-09-29 03:44,YIH,1351,737-800,23,4,30,0,4,5,24,0,,,,,
2019-09-29 03:42,HAK,5611,737-800,25,5,34,0,6,6,31,0,,,,,
2019-09-29 03:39,XIY,1729,737-800,20,2,28,0,2,4,26,0,,,,,
2019-09-29 03:35,URC,1323,737-800,21,2,19,0,2,1,20,0,,,,,
2019-09-29 03:31,URC ,7198,737-800,20,5,28,0,5,3,22,0,,,,,
2019-09-29 03:29,DLC,1386,737-800,22,4,28,0,3,4,20,0,,,,,
2019-09-29 03:28,CAN,1728,737-800,29,4,28,0,5,5,28,0,,,,,
2019-09-29 03:27,XIY,1130,737-800,21,2,30,0,2,2,25,0,,,,,
2019-09-29 03:26,DLC,1498,737-800,21,4,29,0,4,3,28,0,,,,,
2019-09-29 03:26,西安,1482,737-800,24,6,30,0,5,6,26,0,,,,,
2019-09-29 03:25,XIY,5180,737-800,21,6,28,0,6,6,28,0,,,,,
2019-09-29 03:24,URC,205U,737-800,21,4,26,0,5,4,25,0,,,,,
2019-09-29 03:23,CTU,5805,737-700,20,0,0,5,0,0,0,6,,,,,
2019-09-29 03:20,DLC,1101,737-800,22,2,29,0,4,4,23,0,,,,,
2019-09-29 03:17,CTU,5825,737-700,23,0,0,7,0,0,0,7,,,,,
2019-09-29 03:11,KMG,7989,737-800,16,8,28,0,6,6,24,0,,,,,
2019-09-29 03:10,DLC,1101,737-800,22,2,29,0,4,4,23,0,,,,,
2019-09-29 03:08,HHA,1103,737-800,23,3,30,0,3,3,28,0,,,,,
2019-09-29 03:07,HHA,7616,737-800,25,7,28,0,4,4,27,0,,,,,
2019-09-29 03:07,XIY,5115,737-800,20,4,24,0,6,6,22,0,,,,,
2019-09-29 03:06,HHA,7618,737-800,23,6,28,0,5,5,27,0,,,,,
2019-09-29 03:06,DLC,1347,737-800,22,4,29,0,4,4,28,0,,,,,
2019-09-29 03:02,HHA,1549,737-800,25,4,24,0,4,4,24,0,,,,,
2019-09-29 03:02,DLC,7172,737-800,23,3,30,0,5,4,29,0,,,,,
2019-09-29 03:02,HHA,5481,737-800,25,4,22,0,4,4,24,0,,,,,
2019-09-29 02:58,HAK,1793,737-800,25,6,35,0,5,6,35,0,是,是,,,
2019-09-29 02:55,URC,1141,737-800,21,8,30,0,6,6,26,0,,,,,
2019-09-29 02:53,HAK,1503,737-800,30,4,34,0,7,7,30,0,,,,,
2019-09-29 02:52,URC,5798,737-800,22,3,21,0,2,3,22,0,,,,,
2019-09-29 02:48,HHA,5467,737-800,23,0,24,0,1,0,24,0,,,,,
2019-09-29 02:47,URC,5625,737-800,20,4,28,0,4,2,25,0,,,,,
2019-09-29 02:44,CAN,5623,737-800,27,6,33,0,7,6,36,0,,,,,
2019-09-29 02:44,CGO,1586,737-800,20,6,28,0,4,6,26,0,,,,,
2019-09-29 02:43,PEK,5539,737-800,22,4,28,0,4,4,28,0,,,,,
2019-09-29 02:42,URC,2157,737-800,20,4,24,0,5,5,24,0,,,,,
2019-09-29 02:35,124,5409,737-800,20,4,24,0,4,4,26,0,,,,,
2019-09-29 02:35,XIY,5116,737-800,22,4,23,0,4,3,25,0,,,,,
2019-09-29 02:34,KMG,BX6016,737-800,20,4,25,0,5,5,22,0,,,,,
2019-09-29 02:33,KMG,1563,737-700,20,0,0,6,0,0,0,6,,,,,
2019-09-29 02:30,HAK,1733,737-800,25,6,32,0,5,4,32,0,,,,,
2019-09-29 02:29,SZX,5090,737-800,28,4,32,0,4,4,24,0,,,,,
2019-09-29 02:28,XIY,1481,737-800,18,4,23,0,4,3,22,0,,,,,
2019-09-29 02:27,DLC,1215,737-800,22,5,28,0,4,5,30,0,,,,,
2019-09-29 02:26,127,1208,737-800,18,3,24,0,4,4,21,0,,,,,
2019-09-29 02:26,PEK,5139,737-800,25,4,30,0,6,5,30,0,,,,,
2019-09-29 02:26,SZX,7399,737-800,29,5,34,0,5,4,26,0,,,,,
2019-09-29 02:25,XIY,1350,737-800,19,6,26,0,6,6,26,0,,是,,,
2019-09-29 02:25,FOC,5182,737-800,25,3,29,0,4,4,30,0,,,,,
2019-09-29 02:25,PEK,1545,737-800,25,3,28,0,4,4,28,0,,,,,
2019-09-29 02:24,URC,1570,737-800,23,6,20,0,8,8,24,0,,,,,
2019-09-29 02:21,CAN,6062,737-800,28,4,32,0,4,4,32,0,,,,,
2019-09-29 02:21,XIY,7378,737-800,21,6,28,0,5,6,28,0,,,,,
2019-09-29 02:20,HGH,5521,737-800,24,5,29,0,4,4,32,0,,,,,
2019-09-29 02:18,PEK,5153,737-800,23,3,28,0,3,2,26,0,,,,,
2019-09-29 02:16,大连,7172,737-800,22,3,30,0,5,4,29,0,,,,,
2019-09-29 02:11,FOC,5855,737-800,25,6,29,0,6,6,25,0,,,,,
2019-09-29 02:07,SYX,1795,737-800,27,4,33,0,4,4,32,0,,,,,
2019-09-29 02:05,FOC,5503,737-800,25,8,26,0,9,10,32,0,,是,,,
2019-09-29 02:05,SYX,1375,737-800,26,4,34,0,5,4,30,0,,,,,
2019-09-29 02:03,CGO,1587,737-800,26,2,27,0,4,2,23,0,,,,,
2019-09-29 02:03,SYX,206F,737-800,25,2,34,0,2,2,32,0,,,,,
2019-09-29 02:03,HAK,5735,737-800,25,2,28,0,3,4,26,0,,,,,
2019-09-29 02:03,XIY,1903,737-800,20,4,28,0,5,4,27,0,,,,,
2019-09-29 02:01,XIY,1483,737-800,19,5,24,0,4,5,25,0,,,,,
2019-09-29 02:00,XIY,1483,737-800,19,5,24,0,4,5,25,0,,,,,
2019-09-29 01:57,XIY,1495,737-800,25,4,29,0,4,4,28,0,,,,,
2019-09-29 01:56,URC,1787,737-800,21,0,18,0,1,1,19,0,,,,,
2019-09-29 01:48,10,5797,737-800,22,3,21,0,4,6,20,0,,,,,
2019-09-29 01:46,TYN,1490,737-800,20,6,28,0,6,6,27,0,,,,,
2019-09-29 01:45,HGH,5480,737-800,24,4,30,0,4,5,30,0,,,,,
2019-09-29 01:44,ZGC,5502,737-800,14,5,20,0,6,5,20,0,,,,,
2019-09-29 01:43,PEK,5810,737-700,26,0,0,7,0,0,0,8,,,,,
2019-09-29 01:40,XIY,1902,737-800,22,5,26,0,5,6,25,0,,,,,
2019-09-29 01:40,FOC,1562,737-800,25,4,30,0,5,5,32,0,,,,,
2019-09-29 01:40,FOC,1562,737-800,25,4,30,0,5,0,0,0,,,,,
2019-09-29 01:39,XMN,1785,737-800,28,1,30,0,8,7,31,0,,,,,
2019-09-29 01:39,PEK,5478,737-800,25,3,29,0,4,4,24,0,,,,,
2019-09-29 01:38,XMN,5462,737-800,28,4,30,0,9,8,37,0,,,,,
2019-09-29 01:37,XMN,5520,737-800,27,5,32,0,7,8,36,0,,,,,
2019-09-29 01:36,XMN,1489,737-800,26,4,31,0,4,4,30,0,,,,,
2019-09-29 01:35,FOC,1559,737-800,26,3,34,0,3,3,29,0,,,,,
2019-09-29 01:28,URC,205V,737-800,21,3,30,0,4,3,26,0,,,,,
