日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-24 09:49,URC,1570,737-800,28,4,27,0,4,5,26,0,,,,,
2019-07-24 09:20,JHG,5808,737-700,21,0,0,6,0,0,0,4,,,,,
2019-07-24 08:32,XIY,5581,737-800,26,7,27,0,6,5,34,0,,,,,
2019-07-24 08:07,URC,1568,737-800,25,5,31,0,5,5,27,0,,,,,
2019-07-24 08:05,PEK,7175,737-800,30,5,0,0,6,5,22,0,,,,,
2019-07-24 07:50,PEK,5371,737-800,29,7,33,0,8,8,34,0,,,,,
2019-07-24 07:38,XIY,1482,737-800,25,6,31,0,5,5,29,0,,,,,
2019-07-24 07:33,HAK,5684,737-800,28,5,32,0,5,5,34,0,,,,,
2019-07-24 07:32,HAK,1495,737-800,28,4,32,0,4,4,36,0,,,,,
2019-07-24 06:41,JHG,5806,737-700,24,0,0,6,0,0,0,5,,,,,
2019-07-24 06:21,HAK,5139,737-800,26,6,25,0,8,4,32,0,,,,,
2019-07-24 06:20,FOC,1348,737-800,28,6,37,0,6,6,32,0,是,,,,
2019-07-24 06:14,XIY,1163,737-800,27,4,32,0,2,2,32,0,,,,,
2019-07-24 06:11,SZX,5522,737-800,30,8,35,0,8,8,36,0,,,,,
2019-07-24 06:09,URC,2157,737-800,26,4,28,0,5,6,28,0,,,,,
2019-07-24 06:07,CKG,5408,737-800,28,6,32,0,7,6,30,0,,,,,
2019-07-24 06:03,HAK,1538,737-800,29,2,34,0,6,4,30,0,,,,,
2019-07-24 06:03,HAK,5733,737-800,27,4,32,0,6,6,35,0,,,,,
2019-07-24 06:02,HAK,5090,737-800,27,2,32,0,2,3,32,0,,,,,
2019-07-24 05:46,FOC,5182,737-800,29,4,32,0,5,4,30,0,,,,,
2019-07-24 05:43,XIY,1373,737-800,25,4,30,0,4,4,24,0,,,,,
2019-07-24 05:41,KMG,5288,737-700,19,0,0,5,0,0,0,5,,,,,
2019-07-24 05:39,HAK,5139,737-800,26,6,25,0,8,4,32,0,,,,,
2019-07-24 05:38,DLC,1491,737-800,25,4,30,0,6,6,30,0,,,,,
2019-07-24 05:34,TYN,1498,737-800,24,4,30,0,4,4,28,0,,,,,
2019-07-24 05:33,DLC,5483,737-800,26,4,30,0,6,5,29,0,,,,,
2019-07-24 05:31,HAK,1796,737-800,30,6,37,0,4,6,36,0,,,,,
2019-07-24 05:29,DLC,5483,737-800,26,4,30,0,6,5,29,0,,,,,
2019-07-24 05:19,PEK,5406,737-800,30,9,37,0,5,7,30,0,,,,,
2019-07-24 05:18,HAK,5083,737-800,30,8,36,0,8,7,32,0,,,,,
2019-07-24 05:17,DLC,1545,737-800,26,7,33,0,5,5,32,0,,,,,
2019-07-24 05:11,DLC,7379,737-800,27,4,30,0,4,4,30,0,,,,,
2019-07-24 05:05,DLC,1489,737-800,26,5,28,0,4,4,30,0,,,,,
2019-07-24 05:03,DLC,5137,737-800,26,4,31,0,2,2,31,0,,,,,
2019-07-24 05:02,DLC,1487,737-800,25,6,30,0,5,6,30,0,,,,,
2019-07-24 04:58,KMG,1798,737-800,19,4,22,0,6,5,26,0,,,,,
2019-07-24 04:56,PEK,6062,737-800,30,6,32,0,5,5,34,0,,,,,
2019-07-24 04:52,HAK,5480,737-800,27,7,35,0,5,3,32,0,,,,,
2019-07-24 04:51,CAN,5579,737-800,27,6,35,0,6,6,33,0,,,,,
2019-07-24 04:50,KMG,5813,737-700,19,0,0,6,0,0,0,4,,,,,
2019-07-24 04:38,XIY,5466,737-800,25,2,22,0,4,2,22,0,,,,,
2019-07-24 04:35,FOC,1480,737-800,27,4,29,0,4,5,30,0,,,,,
2019-07-24 04:35,PEK,5482,737-800,28,4,32,0,4,4,32,0,,,,,
2019-07-24 04:33,XIY,1102,737-800,26,5,31,0,6,7,34,0,,,,,
2019-07-24 04:31,PEK ,1929,737-800,28,2,32,0,2,2,30,0,,,,,
2019-07-24 04:27,HAK,6808,737-800,26,4,36,0,6,4,22,0,是,,,,
2019-07-24 04:25,绵阳,7991,737-800,26,8,37,0,8,7,36,0,是,是,,,
2019-07-24 04:24,XIY,7378,737-800,27,6,32,0,6,6,32,0,,,,,
2019-07-24 04:22,HAK,1796,737-800,30,37,6,0,4,6,36,0,,,,,
2019-07-24 04:20,ZGC,1735,737-800,20,4,28,0,4,6,24,0,,,,,
2019-07-24 04:19,ZGC,1997,737-800,20,5,26,0,6,6,20,0,,,,,
2019-07-24 04:18,ZGC,6066,737-800,18,6,26,0,4,6,22,0,,,,,
2019-07-24 04:17,XIY,1902,737-800,24,5,30,0,4,5,28,0,,,,,
2019-07-24 04:17,PEK,1502,737-800,28,4,28,0,4,4,36,0,,,,,
2019-07-24 04:17,ZGC,1733,737-800,20,4,24,0,4,5,22,0,,,,,
2019-07-24 04:15,XIY,1163,737-800,27,4,32,0,2,2,32,0,,,,,
2019-07-24 04:13,XIY,1903,737-800,25,2,34,0,3,3,34,0,,,,,
2019-07-24 04:10,PEK,5620,737-800,30,6,32,0,6,6,33,0,,,,,
2019-07-24 04:10,HGH,5141,737-800,32,8,36,0,7,7,35,0,,,,,
2019-07-24 04:09,FOC,7113,737-800,27,5,33,0,5,5,35,0,,,,,
2019-07-24 04:06,XIY,5180,737-800,28,8,34,0,6,6,30,0,,,,,
2019-07-24 03:59,PEK ,5538,737-800,28,4,35,0,4,4,36,0,,,,,
2019-07-24 03:58,CGO,1131,737-800,30,4,36,0,5,6,36,0,,,,,
2019-07-24 03:55,CTU,1563,737-700,30,0,0,8,0,0,0,8,,,,,
2019-07-24 03:53,PEK,5539,737-800,28,7,33,0,8,7,34,0,,,,,
2019-07-24 03:49,URC,1569,737-800,27,3,28,0,3,4,28,0,,,,,
2019-07-24 03:49,URC,5623,737-800,27,5,28,0,6,5,26,0,,,,,
2019-07-24 03:47,海口,1493,737-800,28,5,33,0,8,8,30,0,,,,,
2019-07-24 03:46,KMG,7167,737-800,15,6,30,0,6,6,26,0,,,,,
2019-07-24 03:45,KMG,5409,737-800,18,4,26,0,4,4,26,0,,,,,
2019-07-24 03:43,CAN,1215,737-800,30,7,34,0,5,5,35,0,,,,,
2019-07-24 03:39,XIY,1542,737-800,30,4,30,0,4,4,30,0,,,,,
2019-07-24 03:31,URC,1995,737-800,26,5,28,0,6,5,31,0,,,,,
2019-07-24 03:28,SYX,5713,737-800,28,6,30,0,7,7,32,0,,,,,
2019-07-24 03:27,URC,1325,737-800,26,4,24,0,4,4,26,0,,,,,
2019-07-24 03:27,SYX,206F,737-800,29,4,34,0,4,4,30,0,,,,,
2019-07-24 03:25,SZX,206H,737-800,29,2,35,0,3,3,33,0,,,,,
2019-07-24 03:24,URC,205T,737-800,29,2,28,0,3,3,28,0,,,,,
2019-07-24 03:23,HGH,5138,737-800,31,6,34,0,7,7,34,0,,,,,
2019-07-24 03:23,HHA,5373,737-800,29,5,30,0,6,6,32,0,,,,,
2019-07-24 03:19,HAK,5417,737-800,27,4,34,0,4,4,32,0,,,,,
2019-07-24 03:18,CTU,1565,737-700,25,0,0,6,0,0,0,5,,,,,
2019-07-24 03:18,URC,5797,737-800,29,4,22,0,4,4,26,0,,,,,
2019-07-24 03:18,INC,1481,737-800,28,8,28,0,6,8,30,0,,,,,
2019-07-24 03:13,HGH,1786,737-800,30,5,34,0,6,6,30,0,,,,,
2019-07-24 03:12,URC,5662,737-800,27,2,25,0,2,4,27,0,,,,,
2019-07-24 03:12,URC,1322,737-800,23,4,28,0,4,5,27,0,,,,,
2019-07-24 03:11,URC,1727,737-800,25,5,29,0,5,4,28,0,,,,,
2019-07-24 03:08,URC,205V,737-800,27,4,32,0,4,4,28,0,,,,,
2019-07-24 03:08,URC ,1725,737-800,26,4,28,0,4,4,28,0,,,,,
2019-07-24 03:07,HAK,7619,737-800,27,4,32,0,5,5,34,0,,,,,
2019-07-24 03:05,FOC,1386,737-800,24,3,34,0,3,3,28,0,,,,,
2019-07-24 03:04,KMG,5249,737-700,19,0,0,7,0,0,0,6,,,,,
2019-07-24 03:03,URC,6268,737-800,30,4,26,0,2,3,20,0,,,,,
2019-07-24 03:02,URC,1103,737-800,30,4,28,0,5,4,25,0,,,,,
2019-07-24 03:01,URC,6995,737-800,30,2,25,0,4,6,22,0,,,,,
2019-07-24 03:00,HGH,1928,737-800,30,5,29,0,6,6,31,0,,,,,
2019-07-24 03:00,XIY,5115,737-800,25,5,26,0,6,6,0,0,,,,,
2019-07-24 02:59,KMG,7989,737-800,20,6,28,0,6,8,26,0,,,,,
2019-07-24 02:56,JHG,5248,737-700,24,0,0,9,0,0,0,7,,,,,
2019-07-24 02:52,CAN,5479,737-800,27,8,35,0,7,6,35,0,,,,,
2019-07-24 02:52,TYN,5082,737-800,30,4,32,0,4,4,28,0,,,,,
2019-07-24 02:50,TYN,5685,737-800,26,4,28,0,4,4,26,0,,,,,
2019-07-24 02:50,CTU,6800,737-800,27,2,29,0,5,5,29,0,,,,,
2019-07-24 02:50,SYX,5540,737-800,28,6,36,0,6,4,34,0,,,,,
2019-07-24 02:49,HAK,5375,737-800,26,4,34,0,8,8,36,0,,是,,,
2019-07-24 02:45,HHA,1799,737-800,29,4,34,0,5,5,34,0,,,,,
2019-07-24 02:45,CAN,5465,737-800,27,5,36,0,4,4,34,0,是,,,,
2019-07-24 02:41,绵阳,5732,737-800,28,3,32,0,4,4,33,0,,,,,
