日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-08-19 14:41,URC,1995,737-800,20,4,24,0,2,2,24,0,,,,,
2019-08-19 14:41,URC,1570,737-800,18,5,25,0,6,5,24,0,,,,,
2019-08-19 14:40,URC,205T,737-800,19,2,29,0,2,2,27,0,,,,,
2019-08-19 05:24,URC,5623,737-800,20,6,28,0,5,6,26,0,,,,,
2019-08-19 04:58,URC,6995,737-800,27,4,28,0,5,4,22,0,,,,,
2019-08-19 04:44,KMG,7989,737-800,20,5,26,0,4,4,25,0,,,,,
2019-08-19 04:25,HAK,1799,737-800,29,3,34,0,0,0,0,0,,,,,
2019-08-19 04:24,HAK,5478,737-800,29,6,36,0,0,0,0,0,,,,,
2019-08-19 04:04,SZX,7399,737-800,29,4,34,0,4,4,29,0,,,,,
2019-08-19 03:37,PEK,5482,737-800,25,2,31,0,5,4,30,0,,,,,
2019-08-19 02:57,TYN,1496,737-800,24,4,27,0,4,4,26,0,,,,,
2019-08-19 02:29,DLC,1503,737-800,22,3,30,0,4,4,30,0,,,,,
2019-08-19 00:51,CAN,1497,737-800,27,3,35,0,4,5,36,0,,,,,
2019-08-18 23:47,HRB,1435,737-800,22,6,29,0,0,0,0,0,,,,,
2019-08-18 22:38,HAK,1799,737-800,30,5,37,0,5,5,34,0,,,,,
2019-08-18 17:03,JMJ,5292,737-700,20,0,0,6,0,0,0,8,,,,,
2019-08-18 16:54,CGO,6800,737-800,27,4,28,0,4,5,32,0,,,,,
2019-08-18 16:47,KMG,6809,737-800,20,4,24,0,5,5,26,0,,,,,
2019-08-18 16:19,JHG ,5813,737-700,25,0,0,8,0,0,0,8,,,,,
2019-08-18 16:02,PVG,1727,737-800,30,6,36,0,9,8,36,0,,,,,
2019-08-18 15:35,XMN,5138,737-800,27,4,30,0,4,6,33,0,,,,,
2019-08-18 15:35,XMN,5463,737-800,27,6,32,0,6,6,30,0,,,,,
2019-08-18 15:35,XMN,5463,737-800,27,6,32,0,6,6,30,0,,,,,
2019-08-18 15:34,XMN,7379,737-800,26,6,30,0,4,5,30,0,,,,,
2019-08-18 15:34,XMN,5139,737-800,27,5,32,0,6,5,32,0,,,,,
2019-08-18 15:13,XMN,5463,737-800,27,6,32,0,6,6,33,0,,,,,
2019-08-18 15:12,XMN,7379,737-800,26,6,30,0,4,5,30,0,,,,,
2019-08-18 15:10,XMN,5138,737-800,27,4,30,0,4,6,33,0,,,,,
2019-08-18 15:09,XMN,5139,737-800,27,5,32,0,6,5,35,0,,,,,
2019-08-18 15:07,SHA,1786,737-800,29,7,33,0,6,6,32,0,,,,,
2019-08-18 10:55,CTU,7988,737-800,34,4,34,0,4,4,36,0,,,,,
2019-08-18 09:35,HGH,1797,737-800,31,4,30,0,4,3,31,0,,,,,
2019-08-18 09:34,HGH,5735,737-800,29,2,32,0,2,2,32,0,,,,,
2019-08-18 09:34,HGH,5521,737-800,30,6,35,0,6,5,34,0,,,,,
2019-08-18 09:33,HGH,5521,737-800,30,6,35,0,6,5,34,0,,,,,
2019-08-18 09:32,HGH,1797,737-800,31,4,30,0,3,4,30,0,,,,,
2019-08-18 09:31,HGH,5735,737-800,29,2,32,0,2,2,32,0,,,,,
2019-08-18 09:02,FOC,1348,737-800,33,7,35,0,6,6,35,0,,,,,
2019-08-18 09:02,FOC,5503,737-800,30,5,28,0,5,6,28,0,,,,,
2019-08-18 09:01,FOC,5182,737-800,30,5,27,0,5,4,28,0,,,,,
2019-08-18 08:39,XNN,5137,737-800,17,5,25,0,5,6,26,0,,,,,
2019-08-18 08:29,HAK,7398,737-800,28,6,36,0,3,3,32,0,,,,,
2019-08-18 07:53,HGH,6060,737-800,27,6,34,0,6,5,35,0,,,,,
2019-08-18 07:30,DLC,1928,737-800,23,4,26,0,5,4,26,0,,,,,
2019-08-18 07:04,ZGC,1103,737-800,25,4,28,0,4,5,27,0,,,,,
