日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-09-15 23:36,FOC,5430,737-800,30,6,35,0,6,5,36,0,,,,,
2019-09-15 23:10,CTU,1563,737-700,22,0,0,7,0,0,0,6,,,,,
2019-09-15 19:05,XIY ,7619,737-800,15,4,24,0,4,5,26,0,,,,,
2019-09-15 18:59,XIY,1562,737-800,15,4,24,0,4,5,24,0,,,,,
2019-09-15 17:16,TYN,1796,737-800,16,4,26,0,4,4,24,0,,,,,
2019-09-15 16:50,SZX,1542,737-800,25,4,35,0,4,4,34,0,是,,,,
2019-09-15 16:00,SYX,5636,737-800,30,8,36,0,6,5,32,0,,,,,
2019-09-15 15:42,HHA,5141,737-800,25,6,32,0,5,5,30,0,,,,,
2019-09-15 15:39,PEK,7616,737-800,24,8,28,0,4,4,29,0,,,,,
2019-09-15 15:37,PEK,5539,737-800,25,5,26,0,5,5,26,0,,,,,
2019-09-15 15:36,PEK,5482,737-800,23,5,30,0,5,6,30,0,,,,,
2019-09-15 15:36,PEK,5810,737-700,20,0,0,6,0,0,0,6,,,,,
2019-09-15 15:35,PEK,5153,737-800,21,3,28,0,4,3,24,0,,,,,
2019-09-15 15:34,PEK,1799,737-800,21,6,28,0,5,4,28,0,,,,,
2019-09-15 15:10,PEK,7616,737-800,24,8,28,0,4,4,29,0,,,,,
2019-09-15 11:14,CTU,7993,737-800,20,6,26,0,6,5,24,0,,,,,
2019-09-15 09:55,XMN,1538,737-800,29,4,32,0,3,4,32,0,,,,,
2019-09-15 09:55,XMN,6062,737-800,25,4,27,0,6,5,28,0,,,,,
2019-09-15 09:54,XMN,5483,737-800,28,7,34,0,8,8,32,0,,,,,
2019-09-15 09:53,XMN,5637,737-800,25,7,28,0,5,7,30,0,,,,,
2019-09-15 09:43,XNN,1502,737-800,20,6,24,0,6,4,24,0,,,,,
2019-09-15 09:00,ZGC,5408,737-800,20,5,24,0,4,4,26,0,,,,,
2019-09-15 08:59,ZGC,6061,737-800,15,0,29,0,0,1,28,0,,,,,
2019-09-15 08:58,FOC,5503,737-800,33,5,32,0,4,3,30,0,,,,,
2019-09-15 08:57,FOC,1348,737-800,28,5,36,0,7,6,36,0,,,,,
2019-09-15 08:05,KMG,1587,737-800,20,3,24,0,5,4,26,0,,,,,
2019-09-15 07:58,XIY ,1903,737-800,20,6,24,0,6,9,25,0,,,,,
2019-09-15 07:47,XIY,1103,737-800,20,4,28,0,2,2,28,0,,,,,
2019-09-15 07:33,XIY,1162,737-800,20,2,28,0,8,6,28,0,,,,,
2019-09-15 07:19,DLC,5686,737-800,23,5,28,0,4,5,29,0,,,,,
2019-09-15 07:15,XIY,7398,737-800,18,4,25,0,4,3,22,0,,,,,
