日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-23 09:56,KMG,7989,737-800,20,7,28,0,7,7,28,0,,,,,
2019-07-23 09:42,PEK,1213,737-800,34,6,24,0,7,7,26,0,,,,,
2019-07-23 09:22,CTU,1563,737-700,25,0,0,6,0,0,0,6,,,,,
2019-07-23 09:22,CTU,1563,737-700,25,0,0,6,0,0,0,6,,,,,
2019-07-23 09:18,XIY,5798,737-800,25,3,26,0,3,2,24,0,,,,,
2019-07-23 09:05,HGH,5712,737-800,30,1,31,0,2,2,32,0,,,,,
2019-07-23 08:36,DLC,5611,737-800,30,5,32,0,5,4,32,0,,,,,
2019-07-23 08:27,PEK,1928,737-800,25,6,30,0,8,8,30,0,,,,,
2019-07-23 08:16,MIG,1798,737-800,26,5,34,0,5,5,30,0,,,,,
2019-07-23 08:15,MIG,6809,737-800,25,5,31,0,6,6,34,0,,,,,
2019-07-23 08:13,MIG,5732,737-800,25,3,34,0,6,5,36,0,,是,,,
2019-07-23 08:03,CGO,1209,737-800,32,4,30,0,4,4,28,0,,,,,
2019-07-23 07:53,HRB,1433,737-800,25,4,28,0,2,2,27,0,,,,,
2019-07-23 07:48,URC,1570,737-800,27,4,22,0,5,4,24,0,,,,,
2019-07-23 07:32,ZUH,1487,737-800,30,3,34,0,7,7,36,0,,,,,
2019-07-23 07:20,FOC,5182,737-800,27,3,29,0,4,3,31,0,,,,,
2019-07-23 06:46,XMN,5580,737-800,27,8,36,0,6,7,35,0,是,,,,
2019-07-23 06:46,XMN,5638,737-800,27,6,34,0,7,8,35,0,,,,,
2019-07-23 06:45,XMN,5620,737-800,25,5,34,0,7,8,34,0,,,,,
2019-07-23 06:44,XMN,5853,737-800,27,6,34,0,8,8,26,0,,,,,
2019-07-23 06:43,PEK,1787,737-800,25,2,32,0,2,2,32,0,,,,,
2019-07-23 06:27,FOC,1501,737-800,24,3,33,0,0,0,0,0,,,,,
2019-07-23 06:11,KMG,5813,737-700,20,0,0,6,0,0,0,4,,,,,
2019-07-23 06:02,PVG,1130,737-800,28,3,36,0,3,2,32,0,,,,,
2019-07-23 06:01,HHA,1725,737-800,30,5,33,0,5,6,34,0,,,,,
2019-07-23 05:59,HAK,5735,737-800,26,3,35,0,2,2,30,0,,,,,
2019-07-23 05:48,PE?K,5439,737-800,25,5,32,0,3,3,32,0,,,,,
2019-07-23 05:46,XIY,1902,737-800,23,4,28,0,4,4,26,0,,,,,
2019-07-23 05:45,XIY,1902,737-800,23,4,28,0,4,4,26,0,,,,,
2019-07-23 05:40,ZGC,1728,737-800,20,4,22,0,6,6,24,0,,,,,
2019-07-23 05:40,ZGC,7172,737-800,20,5,26,0,6,6,20,0,,,,,
2019-07-23 05:39,ZGC,7378,737-800,20,6,22,0,7,7,20,0,,,,,
2019-07-23 05:33,JHG,5810,737-700,24,0,0,8,0,0,0,8,,,,,
2019-07-23 05:31,HGH,1927,737-800,30,3,34,0,5,2,31,0,,,,,
2019-07-23 05:13,URC,5661,737-800,30,4,28,0,4,4,29,0,,,,,
2019-07-23 05:06,XIY,1542,737-800,26,4,30,0,4,4,28,0,,,,,
2019-07-23 05:06,XIY,5581,737-800,25,8,27,0,6,6,34,0,,,,,
2019-07-23 04:54,PEK,7175,737-800,27,4,26,0,6,7,28,0,,,,,
2019-07-23 04:46,URC,6995,737-800,26,3,28,0,4,5,26,0,,,,,
2019-07-23 04:46,KMG,1208,737-800,20,3,27,0,3,3,24,0,,,,,
2019-07-23 04:45,北京,7618,737-800,24,4,30,0,6,4,30,0,,,,,
2019-07-23 04:41,XIY,1482,737-800,25,6,30,0,4,4,28,0,,,,,
2019-07-23 04:40,XIY,5180,737-800,25,6,30,0,6,6,30,0,,,,,
2019-07-23 04:39,URC,2159,737-800,27,5,24,0,3,3,25,0,,,,,
2019-07-23 04:31,FOC,1350,737-800,30,4,36,0,4,4,35,0,,,,,
2019-07-23 04:29,SYX,1786,737-800,28,5,32,0,6,5,33,0,,,,,
2019-07-23 04:28,KMG,1586,737-800,20,6,28,0,6,6,29,0,,,,,
2019-07-23 04:24,CAN ,5465,737-800,27,5,34,0,4,4,34,0,,,,,
2019-07-23 04:17,CKG,5408,737-800,25,4,32,0,4,4,32,0,,,,,
2019-07-23 04:16,CKG,1548,737-800,26,4,32,0,6,5,30,0,,,,,
2019-07-23 04:14,SZX,7171,737-800,28,4,32,0,4,4,34,0,,,,,
2019-07-23 04:09,URC ,2157,737-800,30,4,26,0,6,5,27,0,,,,,
2019-07-23 04:09,URC ,2157,737-800,30,4,26,0,6,5,27,0,,,,,
2019-07-23 04:09,URC ,2157,737-800,30,4,26,0,6,5,27,0,,,,,
2019-07-23 04:06,HAK,5083,737-800,25,6,30,0,5,5,31,0,,,,,
2019-07-23 04:05,HGH,1735,737-800,30,6,34,0,4,4,32,0,,,,,
2019-07-23 04:04,HGH,7398,737-800,30,5,32,0,4,4,30,0,,,,,
2019-07-23 04:01,XIY,6066,737-800,24,6,30,0,6,6,30,0,,,,,
2019-07-23 04:01,KMG,7993,737-800,20,5,30,0,6,6,28,0,,,,,
2019-07-23 04:00,XIY,1483,737-800,24,6,30,0,6,6,26,0,,,,,
2019-07-23 03:53,XMN,5580,737-800,27,8,36,0,6,7,35,0,,,,,
2019-07-23 03:53,XMN,5638,737-800,27,6,34,0,7,8,35,0,,,,,
2019-07-23 03:52,XMN,5620,737-800,25,5,34,0,7,8,34,0,,,,,
2019-07-23 03:50,XMN,5853,737-800,27,6,34,0,8,8,26,0,,,,,
2019-07-23 03:50,KMG,5288,737-700,20,0,0,5,0,0,0,5,,,,,
2019-07-23 03:49,HHA,1538,737-800,28,6,30,0,6,6,32,0,,,,,
2019-07-23 03:49,HGH ,5480,737-800,30,8,36,0,4,3,32,0,,,,,
2019-07-23 03:44,KMG,5249,737-700,20,0,0,9,0,0,0,8,,,,,
2019-07-23 03:44,SHA,1503,737-800,28,6,36,0,8,8,36,0,,,,,
2019-07-23 03:44,SHA,5502,737-800,30,8,34,0,9,8,36,0,,,,,
2019-07-23 03:43,CGO,7167,737-800,30,4,32,0,4,5,34,0,,,,,
2019-07-23 03:38,SZX,7400,737-800,28,6,36,0,5,5,35,0,,,,,
2019-07-23 03:37,HHA,5373,737-800,30,6,30,0,8,8,34,0,,,,,
2019-07-23 03:36,天津,5449,737-800,24,6,34,0,4,4,30,0,,,,,
2019-07-23 03:28,TYN,1498,737-800,25,4,32,0,4,4,30,0,,,,,
2019-07-23 03:20,XIY,1481,737-800,24,5,32,0,6,6,33,0,,,,,
2019-07-23 03:19,CGO,7379,737-800,29,6,33,0,6,4,32,0,,,,,
