日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-17 08:48,PEK,1799,737-800,24,5,26,0,5,6,27,0,,,,,
2019-07-17 08:40,DLC,5580,737-800,25,6,32,0,8,8,35,0,,是,,,
2019-07-17 08:14,HAK,5735,737-800,28,5,34,0,4,4,34,0,,,,,
2019-07-17 08:05,KNG,1587,737-800,21,4,23,0,5,3,26,0,,,,,
2019-07-17 07:54,北京,1489,737-800,25,4,28,0,5,4,26,0,,,,,
2019-07-17 07:36,PEK,5416,737-800,26,8,30,0,8,8,34,0,,,,,
2019-07-17 07:36,XIY,1162,737-800,27,3,35,0,4,3,34,0,,,,,
2019-07-17 07:15,URC,205V,737-800,25,0,22,0,0,6,19,0,,,,,
2019-07-17 07:05,CGO,5855,737-800,28,7,29,0,8,7,29,0,,,,,
2019-07-17 07:04,CGO,5138,737-800,27,7,29,0,6,6,29,0,,,,,
2019-07-17 07:04,PEK,5539,737-800,24,6,28,0,6,6,36,0,,是,,,
2019-07-17 07:03,CGO,205U,737-800,30,3,32,0,4,4,32,0,,,,,
2019-07-17 06:41,CAN,1787,737-800,30,6,36,0,2,2,30,0,,,,,
2019-07-17 06:37,XIY,5115,737-800,24,4,26,0,5,5,28,0,,,,,
2019-07-17 06:37,XIY,5637,737-800,23,2,32,0,2,2,32,0,,,,,
2019-07-17 06:30,PEK,5852,737-800,25,6,30,0,6,7,30,0,,,,,
2019-07-17 06:30,SYX,206F,737-800,28,2,32,0,4,4,30,0,,,,,
2019-07-17 06:25,PEK,5480,737-800,25,4,28,0,4,3,28,0,,,,,
2019-07-17 06:17,HGH,7618,737-800,27,4,32,0,4,4,32,0,,,,,
2019-07-17 06:17,HGH,7618,737-800,27,4,32,0,4,4,32,0,,,,,
2019-07-17 05:57,CTU,5823,737-700,24,0,0,7,0,0,0,6,,,,,
2019-07-17 05:50,CKG,6063,737-800,26,4,33,0,4,6,32,0,,,,,
2019-07-17 05:45,SZX,5611,737-800,30,6,35,0,6,5,34,0,,,,,
2019-07-17 05:39,TYN ,7886,737-800,25,4,30,0,4,4,28,0,,,,,
2019-07-17 05:34,HAK,1548,737-800,32,5,33,0,6,6,31,0,,,,,
2019-07-17 05:33,TYN,5338,737-800,23,4,26,0,4,4,28,0,,,,,
2019-07-17 05:21,FOC ,7113,737-800,28,5,32,0,5,5,34,0,,,,,
2019-07-17 05:18,SHA,5687,737-800,26,4,30,0,5,5,35,0,,,,,
2019-07-17 05:16,HAK,1542,737-800,30,4,34,0,6,4,32,0,,,,,
2019-07-17 05:13,XMN,1783,737-800,30,4,32,0,6,6,36,0,,,,,
2019-07-17 05:13,HAK,7400,737-800,27,5,35,0,5,5,36,0,,,,,
2019-07-17 05:13,XMN,1785,737-800,28,2,35,0,5,7,36,0,,,,,
2019-07-17 05:12,XMN,6065,737-800,28,3,30,0,3,4,31,0,,,,,
