日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-18 11:29,CTU,6800,737-800,33,32,4,0,4,4,31,0,,,,,
2019-07-18 10:17,PEK,6065,737-800,26,5,30,0,4,4,28,0,,,,,
2019-07-18 09:58,HAK,5090,737-800,30,5,35,0,6,5,35,0,,,,,
2019-07-18 08:33,PEK,1799,737-800,25,5,34,0,5,5,34,0,是,是,,,
2019-07-18 08:12,URC,1325,737-800,25,4,24,0,5,4,24,0,,,,,
2019-07-18 08:05,HHA,7379,737-800,28,4,34,0,4,4,34,0,,,,,
2019-07-18 07:56,HAK,5623,737-800,29,8,36,0,5,6,33,0,,,,,
2019-07-18 07:44,SZX,1495,737-800,31,6,36,0,6,6,36,0,,,,,
2019-07-18 07:17,PEK,1496,737-800,26,5,32,0,5,5,32,0,,,,,
2019-07-18 07:13,KMG,5825,737-700,20,0,0,6,0,0,0,6,,,,,
2019-07-18 07:13,KMG,1563,737-700,17,0,0,6,0,0,0,6,,,,,
2019-07-18 07:00,XIY,5116,737-800,22,4,27,0,4,4,25,0,,,,,
2019-07-18 06:57,XMN,5636,737-800,30,5,20,0,3,4,23,0,,,,,
2019-07-18 06:57,XMN,5480,737-800,32,8,30,0,6,6,26,0,,,,,
2019-07-18 06:57,XIY,5180,737-800,22,6,32,0,6,6,30,0,,,,,
2019-07-18 06:56,XMN,5466,737-800,30,7,20,0,3,4,18,0,,,,,
2019-07-18 06:56,XMN,1501,737-800,32,8,37,0,7,6,36,0,,,,,
2019-07-18 06:47,CGO,1586,737-800,25,2,32,0,2,3,36,0,,是,,,
2019-07-18 06:44,FOC,1433,737-800,30,2,34,0,3,3,30,0,,,,,
2019-07-18 06:26,XIY,5359,737-800,23,5,28,0,4,5,26,0,,,,,
2019-07-18 06:12,URC,1568,737-800,28,5,27,0,5,6,28,0,,,,,
2019-07-18 06:08,CKG,6063,737-800,30,4,30,0,4,5,32,0,,,,,
2019-07-18 06:07,CKG,1130,737-800,27,4,32,0,4,4,33,0,,,,,
2019-07-18 06:07,XIY,1903,737-800,22,3,24,0,4,4,26,0,,,,,
2019-07-18 06:04,FOC,1435,737-800,29,6,36,0,6,5,12,0,,,,,
2019-07-18 06:04,FOC,5430,737-800,28,5,37,0,5,5,36,0,是,,,,
2019-07-18 06:04,FOC,1435,737-800,29,6,34,0,6,5,14,0,,,,,
2019-07-18 06:00,SYX,1728,737-800,28,5,33,0,5,5,30,0,,,,,
2019-07-18 05:51,KMG,7989,737-800,21,6,28,0,7,6,26,0,,,,,
2019-07-18 05:46,CAN,5406,737-800,30,9,37,0,9,8,34,0,,,,,
2019-07-18 05:28,HGH,5372,737-800,33,7,35,0,7,7,35,0,,,,,
2019-07-18 05:23,URC,5661,737-800,27,4,26,0,4,3,28,0,,,,,
2019-07-18 05:22,TYN,5417,737-800,25,4,28,0,2,2,24,0,,,,,
2019-07-18 05:18,TYN,206G,737-800,25,4,28,0,4,4,28,0,,,,,
2019-07-18 05:08,XIY,5521,737-800,23,5,26,0,2,2,23,0,,,,,
2019-07-18 05:06,URC,1503,737-800,27,4,32,0,4,4,24,0,,,,,
2019-07-18 05:06,HA?K,5137,737-800,28,8,34,0,7,8,37,0,,是,,,
2019-07-18 04:59,URC,1503,737-800,27,4,32,0,4,4,24,0,,,,,
2019-07-18 04:57,HAK,6066,737-800,26,6,37,0,6,6,35,0,是,是,,,
2019-07-18 04:57,CGO,7175,737-800,30,4,28,0,5,5,20,0,,,,,
2019-07-18 04:48,PEK,5408  ,737-800,25,4,28,0,2,3,28,0,,,,,
2019-07-18 04:47,FOC,5430,737-800,28,6,38,0,5,5,35,0,,,,,
2019-07-18 04:45,XIY,7173,737-800,22,4,24,0,4,4,28,0,,,,,
2019-07-18 04:38,URC ,5625,737-800,30,4,28,0,4,5,30,0,,,,,
2019-07-18 04:31,DLC,5405,737-800,25,6,28,0,4,6,26,0,,,,,
2019-07-18 04:25,DLC,1538,737-800,25,2,30,0,4,2,30,0,,,,,
2019-07-18 04:23,HGH,7618,737-800,30,5,32,0,6,6,33,0,,,,,
