日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-09-22 08:41,CAN,1927,737-800,27,4,31,0,4,3,30,0,,,,,
2019-09-22 08:40,HAK,5372,737-800,25,6,32,0,5,5,32,0,,,,,
2019-09-22 08:40,HAK,5083,737-800,25,6,32,0,5,5,32,0,,,,,
2019-09-22 08:39,HAK,1549,737-800,25,6,32,0,5,5,32,0,,,,,
2019-09-22 08:28,SZX,1928,737-800,30,6,22,0,6,6,28,0,,,,,
2019-09-22 07:23,HAK,5481,737-800,28,6,36,0,6,6,36,0,,,,,
2019-09-22 07:22,HAK,5502,737-800,28,6,36,0,5,4,37,0,,是,,,
2019-09-22 06:54,PEK,1786,737-800,23,6,26,0,4,4,24,0,,,,,
2019-09-22 06:34,URC,2159,737-800,25,6,25,0,3,4,22,0,,,,,
2019-09-22 06:32,海口,7379,737-800,28,4,34,0,4,4,26,0,,,,,
2019-09-22 06:30,URC,205V,737-800,24,2,30,0,4,4,26,0,,,,,
2019-09-22 06:23,KMG,7167,737-800,14,6,24,0,5,5,17,0,,,,,
2019-09-22 06:23,XIY,1902,737-800,18,5,28,0,5,5,26,0,,,,,
2019-09-22 06:20,XIY,1161,737-800,20,3,23,0,4,3,26,0,,,,,
2019-09-22 06:20,URC,206P,737-800,25,4,24,0,3,4,22,0,,,,,
2019-09-22 06:19,XIY,1161,737-800,20,3,23,0,4,3,26,0,,,,,
2019-09-22 06:04,URC,5090,737-800,23,2,25,0,2,3,26,0,,,,,
2019-09-22 05:36,DLC,5153,737-800,20,4,28,0,2,2,22,0,,,,,
2019-09-22 05:26,URC,2157,737-800,20,5,21,0,6,5,22,0,,,,,
2019-09-22 05:26,XIY,1163,737-800,19,2,32,0,3,3,30,0,是,,,,
2019-09-22 05:21,DLC,1492,737-800,21,4,26,0,3,3,26,0,,,,,
2019-09-22 05:21,HAK,1215,737-800,27,4,28,0,5,5,32,0,,,,,
2019-09-22 05:19,XIY,5408,737-800,17,2,25,0,3,4,22,0,,,,,
2019-09-22 04:57,HHA,5580,737-800,22,2,28,0,2,2,26,0,,,,,
2019-09-22 04:56,PEK,5797,737-800,20,5,20,0,4,4,26,0,,,,,
2019-09-22 04:53,HGH,5429,737-800,19,4,27,0,3,3,26,0,,,,,
2019-09-22 04:52,KMG,5289,737-700,16,0,0,6,0,0,0,5,,,,,
2019-09-22 04:51,DLC,1797,737-800,22,4,28,0,5,4,26,0,,,,,
2019-09-22 04:50,HAK,7886,737-800,30,6,36,0,4,4,0,0,,,,,
2019-09-22 04:47,CAN,1490,737-800,24,7,35,0,6,6,30,0,是,,,,
2019-09-22 04:40,HGH,5465,737-800,21,3,25,0,2,3,29,0,,,,,
2019-09-22 04:39,DLC,1495,737-800,20,4,26,0,4,5,21,0,,,,,
2019-09-22 04:36,CTU,5825,737-700,23,0,0,7,0,0,0,8,,,,,
2019-09-22 04:33,海口,7993,737-800,28,6,30,0,2,4,28,0,,,,,
2019-09-22 04:18,KMG,7990,737-800,11,3,20,0,4,4,21,0,,,,,
2019-09-22 04:18,URC,1726,737-800,24,4,24,0,3,4,23,0,,,,,
2019-09-22 04:18,KMG,1208,737-800,12,4,20,0,4,4,20,0,,,,,
2019-09-22 04:17,URC,1727,737-800,23,4,28,0,5,6,22,0,,,,,
2019-09-22 04:17,昆明,5806,737-700,14,0,0,8,0,0,0,5,,,,,
2019-09-22 04:01,YIH,1480,737-800,23,5,24,0,6,5,21,0,,,,,
2019-09-22 03:59,YIH,1905,737-800,23,4,30,0,4,4,26,0,,,,,
2019-09-22 03:56,西安,1350,737-800,18,6,22,0,8,8,24,0,,,,,
2019-09-22 03:53,HAK,1497,737-800,28,3,32,0,3,3,34,0,,,,,
2019-09-22 03:48,SZX,1795,737-800,28,5,29,0,4,4,30,0,,,,,
2019-09-22 03:38,XIY,1733,737-800,18,3,23,0,3,3,19,0,,,,,
