日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-25 13:46,CTU,6800,737-800,30,3,30,0,3,3,28,0,,,,,
2019-07-25 10:04,XMN,1502,737-800,29,3,29,0,3,3,32,0,,,,,
2019-07-25 10:03,XMN,6066,737-800,29,4,33,0,4,4,34,0,,,,,
2019-07-25 10:03,XMN,5502,737-800,29,9,37,0,8,9,37,0,,,,,
2019-07-25 09:14,URC,205U,737-800,21,4,27,0,4,4,27,0,,,,,
2019-07-25 08:55,TYN,206G,737-800,25,4,28,0,4,4,28,0,,,,,
2019-07-25 08:36,SZX,7171,737-800,32,2,32,0,5,4,35,0,,,,,
2019-07-25 08:18,HAK,5417,737-800,30,5,34,0,5,5,34,0,,,,,
2019-07-25 08:18,HAK,5418,737-800,35,7,30,0,5,5,32,0,,,,,
2019-07-25 08:16,PEK,5439,737-800,32,8,33,0,3,3,33,0,,,,,
2019-07-25 07:57,URC,1323,737-800,20,3,30,0,3,2,26,0,,,,,
2019-07-25 07:40,PEK,1549,737-800,28,8,34,0,6,6,32,0,,,,,
2019-07-25 07:34,HGH,5141,737-800,31,8,35,0,9,8,36,0,,,,,
2019-07-25 07:27,HGH,7398,737-800,35,5,35,0,4,4,32,0,,,,,
2019-07-25 07:24,HAK,1346,737-800,28,6,37,0,6,6,32,0,是,,,,
2019-07-25 07:23,HAK,1346,737-800,28,6,37,0,6,6,32,0,,,,,
2019-07-25 07:22,MIG,7992,737-800,25,8,30,0,7,7,32,0,,,,,
2019-07-25 06:58,SZX,1347,737-800,30,6,35,0,4,4,34,0,,,,,
2019-07-25 06:50,FOC,1562,737-800,30,5,32,0,4,5,33,0,,,,,
2019-07-25 06:37,XIY,5735,737-800,25,3,28,0,2,3,25,0,,,,,
2019-07-25 06:35,KMG,5292,737-700,20,0,0,4,0,0,0,5,,,,,
2019-07-25 06:13,KMG,7993,737-800,18,6,30,0,6,6,26,0,,,,,
2019-07-25 06:08,KMG,5248,737-700,18,0,0,6,0,0,0,5,,,,,
2019-07-25 05:59,PEK ,5371,737-800,30,8,33,0,8,7,33,0,,,,,
2019-07-25 05:58,PEK,5580,737-800,30,7,32,0,7,6,32,0,,,,,
2019-07-25 05:41,CAN,5638,737-800,26,5,35,0,5,6,36,0,是,是,,,
2019-07-25 05:32,JHG,5810,737-700,25,0,0,8,0,0,0,8,,,,,
2019-07-25 05:32,JHG,5289,737-700,25,0,0,9,0,0,0,6,,,,,
2019-07-25 05:31,JHG,5806,737-700,25,0,0,6,0,0,0,4,,,,,
2019-07-25 05:30,FOC,1348,737-800,28,4,35,0,5,4,32,0,,,,,
2019-07-25 05:29,FOC,1348,737-800,28,5,39,0,5,4,32,0,,,,,
2019-07-25 05:26,CKG,5337,737-800,27,5,28,0,4,5,28,0,,,,,
2019-07-25 05:23,CAN,1796,737-800,27,5,36,0,5,5,31,0,是,,,,
2019-07-25 05:18,HHA,1547,737-800,30,6,34,0,6,5,32,0,,,,,
2019-07-25 05:17,CGO,1587,737-800,32,5,33,0,5,4,32,0,,,,,
2019-07-25 05:16,CAN,5713,737-800,28,6,30,0,7,7,32,0,,,,,
2019-07-25 05:14,CAN,1797,737-800,27,3,34,0,4,4,30,0,,,,,
2019-07-25 05:13,KMG,7989,737-800,18,6,28,0,6,6,28,0,,,,,
2019-07-25 05:11,FOC,5503,737-800,30,4,28,0,5,6,28,0,,,,,
2019-07-25 05:10,FOC,1141,737-800,28,6,34,0,6,6,32,0,,,,,
2019-07-25 05:09,CAN,5638,737-800,26,5,35,0,5,6,36,0,,,,,
2019-07-25 05:07,HGH,1786,737-800,30,6,32,0,6,5,30,0,,,,,
2019-07-25 05:06,FOC,5430,737-800,29,8,37,0,6,6,36,0,,,,,
2019-07-25 05:05,PEK,5482,737-800,30,3,32,0,3,3,32,0,,,,,
2019-07-25 05:02,URC ,1503,737-800,26,3,28,0,3,4,28,0,,,,,
2019-07-25 05:00,CAN,1797,737-800,27,3,34,0,4,4,30,0,,,,,
2019-07-25 04:59,URC,1570,737-800,25,3,28,0,3,3,27,0,,,,,
2019-07-25 04:57,PEK,5466,737-800,28,3,26,0,8,8,32,0,,,,,
2019-07-25 04:57,FOC,1480,737-800,28,5,30,0,6,4,32,0,,,,,
2019-07-25 04:56,URC,1103,737-800,25,4,31,0,4,5,28,0,,,,,
2019-07-25 04:56,CAN,5479,737-800,29,8,36,0,7,8,37,0,,,,,
2019-07-25 04:54,,7639,737-800,31,6,36,0,6,8,35,0,,,,,
2019-07-25 04:49,PEK,5636,737-800,30,6,34,0,6,6,34,0,,,,,
2019-07-25 04:45,XIY,5852,737-800,27,5,31,0,7,7,31,0,,,,,
2019-07-25 04:34,FOC,5182,737-800,28,4,30,0,4,4,30,0,,,,,
2019-07-25 04:33,FOC,5182,737-800,30,4,32,0,4,4,32,0,,,,,
2019-07-25 04:33,KMG,7377,737-800,18,6,27,0,6,6,27,0,,,,,
2019-07-25 04:31,HAK,5522,737-800,27,6,34,0,8,7,36,0,,是,,,
2019-07-25 04:23,URC,5346,737-800,25,5,28,0,6,5,26,0,,,,,
2019-07-25 04:18,XIY,1483,737-800,28,4,30,0,4,4,28,0,,,,,
2019-07-25 04:11,HHA,6065,737-800,25,6,26,0,6,6,28,0,,,,,
2019-07-25 04:11,PEK,5538,737-800,28,7,36,0,4,4,30,0,,,,,
2019-07-25 04:06,5138,ZGC,737-800,24,6,26,0,5,5,25,0,,,,,
2019-07-25 04:04,KMG,5409,737-800,20,4,25,0,4,4,24,0,,,,,
2019-07-25 04:03,URC,1929,737-800,25,4,22,0,4,3,26,0,,,,,
2019-07-25 04:02,ZGC,1997,737-800,20,4,26,0,4,4,24,0,,,,,
2019-07-25 04:02,HGH,5712,737-800,29,5,34,0,5,6,33,0,,,,,
2019-07-25 03:58,DLC,5338,737-800,26,6,30,0,6,6,32,0,,,,,
2019-07-25 03:56,ZGC,1733,737-800,20,2,20,0,3,2,22,0,,,,,
2019-07-25 03:55,URC,6995,737-800,25,5,26,0,4,4,25,0,,,,,
2019-07-25 03:55,XIY,5115,737-800,25,4,29,0,3,4,30,0,,,,,
2019-07-25 03:50,URC,5623,737-800,25,6,28,0,7,5,25,0,,,,,
2019-07-25 03:48,URC,1325,737-800,25,4,26,0,4,4,24,0,,,,,
2019-07-25 03:46,URC,1569,737-800,25,3,30,0,2,2,26,0,,,,,
2019-07-25 03:45,ZGC,7172,737-800,20,3,23,0,2,2,22,0,,,,,
2019-07-25 03:42,INC,1161,737-800,22,5,28,0,5,6,26,0,,,,,
2019-07-25 03:39,XIY ,1163,737-800,27,2,32,0,2,2,32,0,,,,,
2019-07-25 03:38,HAK,5373,737-800,26,7,37,0,8,8,32,0,是,,,,
2019-07-25 03:37,HHA,1785,737-800,30,5,34,0,6,6,32,0,,,,,
2019-07-25 03:37,SYX,1735,737-800,29,6,32,0,6,6,28,0,,,,,
2019-07-25 03:37,XIY,1162,737-800,27,2,34,0,4,3,34,0,,,,,
2019-07-25 03:35,SYX,6063,737-800,30,6,37,0,6,6,37,0,,,,,
2019-07-25 03:34,PEK,5539,737-800,30,7,32,0,7,7,30,0,,,,,
2019-07-25 03:27,昆明,6015,737-800,18,4,22,0,4,4,24,0,,,,,
2019-07-25 03:23,CGO,5662,737-800,30,6,34,0,6,8,30,0,,,,,
2019-07-25 03:21,XIY,1727,737-800,27,5,30,0,7,5,32,0,,,,,
2019-07-25 03:20,XIY,1727,737-800,27,5,30,0,7,5,32,0,,,,,
2019-07-25 03:20,XIY,1727,737-800,27,5,30,0,7,5,32,0,,,,,
2019-07-25 03:19,MIG,5449,737-800,25,5,30,0,5,6,30,0,,,,,
2019-07-25 03:19,KMG,6015,737-800,20,4,22,0,4,4,24,0,,,,,
2019-07-25 03:18,URC,1568,737-800,25,5,31,0,5,5,28,0,,,,,
2019-07-25 03:16,KMG,5288,737-700,20,0,0,7,0,0,0,6,,,,,
2019-07-25 03:13,XIY,5180,737-800,25,8,28,0,5,5,24,0,,,,,
2019-07-25 03:11,URC,5611,737-800,22,6,29,0,4,5,28,0,,,,,
2019-07-25 03:10,YIH,1905,737-800,27,4,35,0,4,4,34,0,,,,,
2019-07-25 03:09,PEK,1497,737-800,30,6,36,0,4,4,34,0,,,,,
2019-07-25 03:09,HAK,5083,737-800,29,6,29,0,6,7,36,0,,,,,
2019-07-25 03:09,DLC,5687,737-800,27,6,32,0,6,4,32,0,,,,,
2019-07-25 03:07,URC,1995,737-800,25,6,28,0,6,6,30,0,,,,,
2019-07-25 03:04,SYX,1496,737-800,30,8,36,0,6,6,34,0,,,,,
2019-07-25 02:59,HHA,1547,737-800,30,6,34,0,6,5,32,0,,,,,
2019-07-25 02:55,CTU,1565,737-700,25,0,0,6,0,0,0,6,,,,,
2019-07-25 02:55,CTU,1565,737-700,25,0,0,6,0,0,0,6,,,,,
2019-07-25 02:54,CKG,1130,737-800,27,2,26,0,3,2,26,0,,,,,
2019-07-25 02:54,HHA,7379,737-800,29,3,34,0,4,5,35,0,,,,,
2019-07-25 02:52,HAK,1215,737-800,27,5,34,0,6,6,35,0,,,,,
2019-07-25 02:51,SZX,206H,737-800,29,4,37,0,2,3,36,0,,,,,
2019-07-25 02:50,SYX,1131,737-800,28,9,34,0,4,4,36,0,,,,,
2019-07-25 02:48,大连,6062,737-800,26,4,30,0,4,2,28,0,,,,,
2019-07-25 02:48,PEK,1928,737-800,30,5,30,0,6,6,30,0,,,,,
2019-07-25 02:45,TYN,5082,737-800,25,4,33,0,4,4,27,0,,,,,
2019-07-25 02:42,508,7988,737-800,20,6,26,0,5,5,29,0,,,,,
2019-07-25 02:39,HAK,7399,737-800,27,4,34,0,3,3,32,0,,,,,
2019-07-25 02:38,XIY,1481,737-800,26,6,33,0,6,6,34,0,,,,,
2019-07-25 02:38,XIY ,1386,737-800,27,3,31,0,4,2,26,0,,,,,
2019-07-25 02:38,HAK,5465,737-800,27,8,36,0,2,3,35,0,是,,,,
2019-07-25 02:36,CAN,1796,737-800,27,5,36,0,5,5,31,0,,,,,
2019-07-25 02:32,SYX,1728,737-800,30,4,28,0,4,5,28,0,,,,,
2019-07-25 02:30,CAN,6061,737-800,28,3,33,0,5,5,29,0,,,,,
2019-07-25 02:28,CTU,5823,737-700,26,0,0,5,0,0,0,5,,,,,
2019-07-25 02:25,FOC,7105,737-800,32,5,35,0,5,4,32,0,,,,,
2019-07-25 02:22,URC,205V,737-800,25,4,29,0,3,4,29,0,,,,,
2019-07-25 02:21,MIG,7991,737-800,25,6,31,0,6,6,30,0,,,,,
2019-07-25 02:18,XIY,1373,737-800,30,3,28,0,3,3,26,0,,,,,
2019-07-25 02:17,KMG,5732,737-800,18,1,25,0,3,3,25,0,,,,,
2019-07-25 02:13,URC,5853,737-800,25,6,27,0,6,6,25,0,,,,,
2019-07-25 02:10,HAK,7400,737-800,27,7,37,0,5,4,34,0,是,,,,
2019-07-25 02:08,HAK,1783,737-800,28,4,36,0,4,4,24,0,,,,,
2019-07-25 02:07,TYN,1505,737-800,25,4,20,0,4,4,22,0,,,,,
2019-07-25 02:06,西宁,5406,737-800,23,5,28,0,4,6,26,0,,,,,
2019-07-25 02:06,CGO,1208,737-800,30,3,32,0,4,3,30,0,,,,,
2019-07-25 02:06,DLC,1545,737-800,26,6,31,0,6,6,32,0,,,,,
2019-07-25 02:04,SYX,206F,737-800,30,2,32,0,2,2,30,0,,,,,
2019-07-25 02:04,KMG,5805,737-700,20,0,0,6,0,0,0,5,,,,,
2019-07-25 01:55,URC,2159,737-800,30,4,28,0,2,2,24,0,,,,,
2019-07-25 01:55,HAK,5405,737-800,28,6,37,0,6,4,36,0,是,,,,
2019-07-25 01:53,URC ,1501,737-800,28,3,28,0,3,3,30,0,,,,,
2019-07-25 01:48,HHA,5153,737-800,25,4,26,0,4,6,24,0,,,,,
2019-07-25 01:45,HHA,7619,737-800,27,5,30,0,5,5,32,0,,,,,
