飞机号,时间,环境温度(℃),左温差,右温差,左边CONTCABINDUCT,左边FWDDUCT,左边AFTDUCT,左边LPACK,左边SUPPLYDUCT,右边CONTCABINDUCT,右边FWDDUCT,右边AFTDUCT,右边LPACK,右边SUPPLYDUCT,排故措施
5136,5/6/2019,20,8,12,5,0,0,28,0,0,5,4,32,0,反吹右组件，未完成
5478,5/6/2019,22,12,6,4,0,0,34,0,0,4,4,28,0,反吹左组件，未完成
6065,5/6/2019,21,13,9,5,0,0,34,0,0,4,4,30,0,反吹左组件
7172,5/6/2019,23,10,7,4,0,0,33,0,0,6,4,30,0,反吹左组件，未完成
5579,5/6/2019,22,10,8,6,0,0,32,0,0,7,6,30,0,反吹左组件，未完成
7886,5/6/2019,30,6,7,5,0,0,36,0,0,4,3,37,0,反吹右组件，未完成
5467,5/6/2019,20,10,13,2,0,0,30,0,0,3,1,33,0,反吹右组件
7379,5/6/2019,20,11,12,4,0,0,31,0,0,3,3,32,0,反吹右组件，未完成
1101,5/6/2019,20,14,16,3,0,0,34,0,0,3,3,36,0,反吹左、右组件
5430,5/6/2019,22,10,10,5,0,0,32,0,0,5,4,32,0,反吹左、右组件
1213,5/5/2019,25,11,10,6,0,0,36,0,0,6,6,35,0,反吹左、右组件，未完成
5405,5/5/2019,25,11,9,5,0,0,36,0,0,5,4,34,0,反吹左组件
5478,5/5/2019,20,12,5,4,0,0,32,0,0,4,4,25,0,反吹左组件
1903,5/5/2019,21,7,17,2,0,0,28,0,0,2,2,38,0,反吹右组件，未完成
5358,5/5/2019,29,8,8,9,0,0,37,0,0,9,8,37,0,反吹左、右组件
1495,5/5/2019,25,11,8,4,0,0,36,0,0,3,4,33,0,反吹左组件
5373,5/4/2019,22,10,11,7,0,0,32,0,0,8,8,33,0,反吹左、右组件
1737,5/3/2019,,,,,,,,,,,,,,反吹右组件，未完成
7379,5/3/2019,25,8,10,4,0,0,33,0,0,4,3,35,0,反吹右组件，未完成
5625,5/2/2019,25,11,9,8,0,0,36,0,0,5,5,34,0,反吹左组件，未完成
5463,5/1/2019,23,13,-1,3,0,0,36,0,0,4,4,22,0,反吹左组件
1497,5/1/2019,26,10,6,3,0,0,36,0,0,4,4,32,0,反吹左组件，未完成
1215,5/1/2019,23,11,9,4,0,0,34,0,0,4,4,32,0,反吹左组件
5625,5/1/2019,26,6,10,4,0,0,32,0,0,4,5,36,0,反吹右组件，未完成
1130,5/1/2019,25,8,11,4,0,0,33,0,0,9,8,36,0,反吹右组件
1501,5/1/2019,22,6,10,4,0,0,28,0,0,4,4,32,0,反吹右组件，未完成
5522,4/30/2019,24,13,3,6,0,0,37,0,0,6,7,27,0,反吹左组件
5709,4/30/2019,22,9,12,7,0,0,31,0,0,8,8,34,0,反吹右组件，未完成
5338,4/30/2019,20,12,9,4,0,0,32,0,0,3,3,29,0,反吹左组件，未完成
5637,4/30/2019,24,12,9,2,0,0,36,0,0,2,2,33,0,反吹左组件
5430,4/30/2019,25,9,10,6,0,0,34,0,0,6,6,35,0,反吹右组件
5522,4/29/2019,28,9,8,7,0,0,37,0,0,8,7,36,0,反吹左组件
5288,4/29/2019,17,-17,-17,0,0,0,0,8,0,0,0,0,18,反吹右组件
1586,4/28/2019,11,21,11,8,0,0,32,0,0,6,5,22,0,反吹左组件，未完成
7175,4/28/2019,26,10,4,6,0,0,36,0,0,5,6,30,0,反吹左组件，未完成
1163,4/28/2019,11,12,19,2,0,0,23,0,0,10,10,30,0,反吹右组件
5538,4/28/2019,12,14,20,4,0,0,26,0,0,4,4,32,0,反吹右组件，未完成
1487,4/28/2019,14,18,12,7,0,0,32,0,0,8,7,26,0,反吹左组件，未完成
1487,4/27/2019,14,18,12,7,0,0,32,0,0,8,7,26,0,反吹左组件，未完成
1163,4/27/2019,13,19,21,8,0,0,32,0,0,8,9,34,0,反吹左、右组件
5478,4/27/2019,15,17,15,8,0,0,32,0,0,7,8,30,0,反吹左组件，未完成
5483,4/27/2019,25,10,7,5,0,0,35,0,0,7,6,32,0,反吹左组件，未完成
7379,4/27/2019,24,5,12,5,0,0,29,0,0,8,9,36,0,反吹右组件、冷凝器波纹管漏水
7639,4/27/2019,26,11,7,6,0,0,37,0,0,7,7,33,0,反吹左、右组件
5289,4/27/2019,30,-30,-30,0,0,0,0,19,0,0,0,0,11,反吹左、右组件
7639,4/26/2019,26,10,6,5,0,0,36,0,0,8,7,32,0,反吹左组件
1793,4/26/2019,25,10,5,5,0,0,35,0,0,4,4,30,0,反吹左组件，未完成
5580,4/26/2019,25,10,5,5,0,0,35,0,0,4,4,30,0,反吹左组件
1786,4/26/2019,27,7,11,4,0,0,34,0,0,4,4,38,0,反吹右组件
1213,4/25/2019,27,12,7,10,0,0,39,0,0,4,4,34,0,反吹左组件
5482,4/25/2019,8,24,20,9,0,0,32,0,0,8,9,28,0,反吹左组件，未完成
1538,4/25/2019,20,2,15,2,0,0,22,0,0,7,8,35,0,反吹右组件
1102,4/25/2019,25,8,3,6,0,0,33,0,0,10,9,28,0,反吹右组件，未完成
7379,4/25/2019,24,7,10,4,0,0,31,0,0,4,4,34,0,反吹右组件
1131,4/24/2019,13,19,17,4,0,0,32,0,0,7,8,30,0,反吹左组件
1141,4/24/2019,24,11,6,6,0,0,35,0,0,5,5,30,0,反吹左组件
1213,4/24/2019,22,10,8,6,0,0,32,0,0,6,6,30,0,反吹左组件
5538,4/23/2019,20,10,13,2,0,0,30,0,0,2,4,33,0,反吹右组件
5686,4/23/2019,24,16,8,8,0,0,40,0,0,6,8,32,0,反吹左组件
5090,4/23/2019,24,11,7,6,0,0,35,0,0,8,7,31,0,反吹左组件
1783,4/23/2019,20,0,16,4,0,0,20,0,0,4,4,36,0,反吹右组件
1496,4/23/2019,26,9,10,6,0,0,35,0,0,6,6,36,0,反吹右组件，未完成
5712,4/23/2019,22,3,11,2,0,0,25,0,0,8,7,33,0,反吹右组件
5580,4/22/2019,23,9,11,6,0,0,32,0,0,6,6,34,0,反吹右组件
5522,4/22/2019,30,4,4,6,0,0,34,0,0,10,12,34,0,反吹右组件
1347,4/22/2019,25,4,-1,4,0,0,29,0,0,16,14,24,0,反吹右组件
1729,4/22/2019,20,17,11,5,0,0,37,0,0,5,4,31,0,反吹左组件，未完成
5430,4/22/2019,20,6,15,6,0,0,26,0,0,8,6,35,0,反吹右组件
5082,4/21/2019,25,11,5,8,0,0,36,0,0,5,5,30,0,反吹左组件
5405,4/21/2019,24,12,10,4,0,0,36,0,0,5,4,34,0,反吹左、右组件，未完成
206H,4/21/2019,25,11,9,2,0,0,36,0,0,2,2,34,0,反吹左组件
