飞机号,时间,环境温度(℃),左温差,右温差,左边CONTCABINDUCT,左边FWDDUCT,左边AFTDUCT,左边LPACK,左边SUPPLYDUCT,右边CONTCABINDUCT,右边FWDDUCT,右边AFTDUCT,右边LPACK,右边SUPPLYDUCT,排故措施
,,10,9,6,2,0,0,19,0,0,3,2,16,0,正常
,,10,10,10,2,0,0,20,0,0,2,2,20,0,正常
,,20,4,4,6,0,0,24,0,0,5,5,24,0,正常
,,18,4,5,2,0,0,22,0,0,3,3,23,0,正常
,,21,3,7,4,0,0,24,0,0,4,5,28,0,正常
,,28,4,4,2,0,0,32,0,0,2,2,32,0,正常
,,18,8,7,4,0,0,26,0,0,5,4,25,0,正常
,,20,0,-2,4,0,0,20,0,0,4,4,18,0,正常
,,18,2,6,8,0,0,20,0,0,6,5,24,0,正常
,,18,9,9,4,0,0,27,0,0,4,4,27,0,正常
,,18,9,8,5,0,0,27,0,0,4,4,26,0,正常
,,15,6,7,3,0,0,21,0,0,4,4,22,0,正常
,,21,3,4,5,0,0,24,0,0,4,4,25,0,正常
,,20,3,3,5,0,0,23,0,0,5,4,23,0,正常
,,22,5,4,4,0,0,27,0,0,4,3,26,0,正常
,,27,-1,-1,8,0,0,26,0,0,4,4,26,0,正常
,,17,8,6,3,0,0,25,0,0,3,2,23,0,正常
,,19,5,5,6,0,0,24,0,0,6,6,24,0,正常
,,23,5,5,5,0,0,28,0,0,4,5,28,0,正常
,,12,9,9,6,0,0,21,0,0,4,4,21,0,正常
,,12,10,6,5,0,0,22,0,0,6,6,18,0,正常
,,28,3,4,5,0,0,31,0,0,6,6,32,0,正常
,,27,7,6,9,0,0,34,0,0,7,8,33,0,正常
,,28,5,4,6,0,0,33,0,0,8,6,32,0,正常
,,27,5,8,4,0,0,32,0,0,6,4,35,0,正常
,,21,5,7,8,0,0,26,0,0,8,8,28,0,正常
,,24,-2,2,6,0,0,22,0,0,7,6,26,0,正常
,,16,10,8,6,0,0,26,0,0,6,5,24,0,正常
,,18,10,8,5,0,0,28,0,0,5,5,26,0,正常
,,22,4,1,3,0,0,26,0,0,4,5,23,0,正常
,,21,10,7,3,0,0,31,0,0,3,2,28,0,正常
,,28,-2,2,8,0,0,26,0,0,8,6,30,0,正常
,,16,10,12,5,0,0,26,0,0,5,5,28,0,正常
,,20,4,4,4,0,0,24,0,0,4,4,24,0,正常
,,10,10,8,4,0,0,20,0,0,3,4,18,0,正常
,,19,9,10,5,0,0,28,0,0,5,4,29,0,正常
,,20,8,7,4,0,0,28,0,0,5,4,27,0,正常
,,19,4,7,3,0,0,23,0,0,2,2,26,0,正常
,,16,-6,0,2,0,0,10,0,0,2,2,16,0,正常
,,20,7,6,5,0,0,27,0,0,5,4,26,0,正常
,,22,6,7,4,0,0,28,0,0,3,4,29,0,正常
,,10,10,8,4,0,0,20,0,0,5,5,18,0,正常
,,12,8,6,6,0,0,20,0,0,6,6,18,0,正常
,,23,3,-7,2,0,0,26,0,0,4,4,16,0,正常
,,24,5,2,6,0,0,29,0,0,4,4,26,0,正常
,,30,6,2,5,0,0,36,0,0,5,6,32,0,正常
,,16,8,8,7,0,0,24,0,0,7,7,24,0,正常
,,17,8,5,5,0,0,25,0,0,6,6,22,0,正常
,,21,8,9,4,0,0,29,0,0,5,5,30,0,正常
,,25,-1,7,4,0,0,24,0,0,4,4,32,0,正常
,,25,1,3,3,0,0,26,0,0,8,4,28,0,正常
,,21,5,7,4,0,0,26,0,0,4,4,28,0,正常
,,17,7,5,4,0,0,24,0,0,4,4,22,0,正常
,,22,4,4,4,0,0,26,0,0,4,4,26,0,正常
