机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N00163,5061    ,DE    ,CC    ,2206400-2               ,38-483          ,21    ,X,X,FAIL  ,2005-06-24,18620:30,10883,00:00,0,2011-07-06,38792:59,27079,20172:29,16196,"航后检查发现右空调组件不工作,ACM故障.李瑶松 AF check and find the ACMof R pack fail",20172:29,   航后根据AMM21-51-04更换右组件ACM开空调测试工作正常相关管路无渗漏.李瑶松 AF refer to AMM21-51-04 replace the ACM of R PACK operate theR PACK and test ok no leakage foundPACKING:S90267041/2215108-1/S9026T230,16196,2206400-2               ,5715            ,,18505,29648.52,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1280150,10477614
73N,73N00103,2637    ,DE    ,CC    ,2206400-2               ,7137            ,21    ,X,X,FAIL  ,2010-07-17,39331:37,20370,139:36,67,2011-05-27,41823:41,21816,2631:40,1513,FLB10480810,2492:04,"  北京航后依据AMM21-51-04更换右空气循环机,经测试过站正常.挂签号0013948张学文 熊捷beijing AF refer to AMM21-51-01,replace the ACM,and the test is ok.",1446,2206400-2               ,5362            ,HONEYWELL,17683,33723.43,2492:04,1446,(AOG)AIR CYCLE MACHINE（包修）                              ,1249026,10480810
73N,73N02433,5337    ,DE    ,CC    ,2206400-2               ,5285            ,21    ,X,X,CAN   ,2007-10-30,00:00,0,00:00,0,2011-06-07,11931:06,6058,11931:06,6058,,11931:06,"     FROM FLB10482625A  航后依据AMM21-51-04更换右组件ACM,测试右组件工作正常,撤除DD201105035    挂签号3170609AF refer to AMM21-51-04 replace the right ACMFLB10482631A   test the right pack work normal close the DD201105035刘飞  检验赵卫国   封圈2-158S604-70   2-230S604-70  2215108-1S9026T041   BACP11K6   S9026T154    S9026T230",6058,2206400-2               ,49-1193         ,,32427,64225.56,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1257369,10482630
73N,73N03186,5503    ,DE    ,CC    ,2206400-2               ,7116            ,21    ,X,X,FAIL  ,2010-02-08,00:00,0,00:00,0,2012-08-15,7695:02,3997,7695:02,3997,落地后右PACK灯亮.机组,7695:02,"      地面组件测试有TCV信息,不可清除,按MEL21-01-01-01放行,保留右组件.何志邃Test pack found TCV message refer to MEL21-01-01-01 to dispatch theA/CFL10483982B航后检查发现右组件无冲压空气,依据AMM21-51-04更换右组件ACM完成相关测试正常且无渗漏.万辉AF checked that there was no ram air in right pack,replace the ACM ofright pack accomplished the test ref to AMM21-51-04 and no leakage",3997,2206400-2               ,2518            ,,27479,48348.46,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1684697,10483982
73N,73N00515,5081    ,DE    ,CC    ,2206400-2               ,118-796         ,21    ,X,X,FAIL  ,2008-07-16,28790:18,13663,8259:20,3996,2012-02-16,41417:54,20426,20886:56,10759,航前反映右PACK 灯亮.廖静晔PF report the right pack light come on,12627:36, 更换右组件ACM 测试空调工作正常.廖静晔replaced the right ACM. test R air condition works normally,6763,2206400-2               ,76-104          ,武汉航达,17460,33709.17,12627:36,6763,(AOG)AIR CYCLE MACHINE（包修）                              ,1488123,10489791
73N,73N05243,1785    ,DE    ,CC    ,2206400-2               ,12591           ,21    ,X, ,WOR   ,2015-01-09,00:00,0,00:00,0,2015-06-26,1245:26,606,1245:26,606,航后检查发现右组件内不ACM叶片断裂AF check find R pack ACM fanis damaged王岗,1245:26,  航后依据AMM21-51-04更换右侧空调组件ACM测试工作正常 TAG:4019296AF refer AMM21-51-04 repacle R pack ACM operate test ok王岗,606,2206400-2               ,4509            ,,19295,38211.39,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,3302012,10490616
73N,73N01147,2675    ,DE    ,CC    ,2206400-2               ,2617            ,21    ,X,X,FAIL  ,2002-06-07,00:00,0,00:00,0,2011-05-17,28909:43,16172,28909:43,16172,,28909:43,"     FROM FLB10491696A 为进一步排除左组件灯亮故障,依据AMM21-51-04更换左ACM并测试正常王伟,刘飞,挂签号0009175,封圈BACP11K6 3EA,2-230S604-70 2EAIn order to troubleshooting the L pack light bright,refer toAMM21-51-04 replaced L side ACM and test ok,L pack work normally封圈S9026T230 2EA,gasket:2215108-1,封圈S9026T041,S9026T154",16172,2206400-2               ,5715            ,,18505,29648.52,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1240878,10491699
73N,73N01147,2675    ,DE    ,CC    ,2206400-2               ,5715            ,21    ,X,X,FAIL  ,2011-05-17,28909:43,16172,8248:52,4358,2011-05-19,28922:01,16180,8261:10,4366,,12:18,"  FROM FLB10491702A  航后完成DD201104372,更换左组件ACM,测试正常AF completed DD201104372,replace ACM of left pack,test ok刘明明  检验张伟   挂签号1009049",8,2206400-2               ,3950            ,霍尼韦尔,12968,24955.04,12:18,8,(AOG)AIR CYCLE MACHINE（包修）                              ,1242430,10491705
73N,73N01170,2676    ,DE    ,CC    ,2206400-2               ,2736            ,21    ,X,X,FAIL  ,2008-07-05,21468:03,10927,21068:05,10268,2011-08-26,31437:36,16011,31037:38,15352,西安落地后在地面滑行期间右PACK 灯亮。机组,9969:33,    过站自检右PACK 无法复位，因时间短按MEL21-01-01-01放行。宋宁军 TR testR pack fail because of time limit refer to MEL21-01-01-01 dispatchFLB10496614B航后检查右组件ACM不工作，更换ACM测试正常，检查无渗漏。陈衍革 AF checkand found the ACM of R pack fail replace the ACM test ok no leakage,5084,2206400-2               ,6484            ,武汉航达,14781,28178.22,9969:33,5084,(AOG)AIR CYCLE MACHINE（包修）                              ,1325900,10496611
73N,73N02433,5337    ,DE    ,CC    ,2206400-2               ,5544            ,21    ,X,X,FAIL  ,2007-10-30,00:00,0,00:00,0,2011-08-21,12571:01,6408,12571:01,6408,北京落地后滑行中左组件跳开灯亮 L pack trip light is on the taxi 机组,12571:01,"   过站依据MEL21-01-01-01放行 TR refer MEL21-01-01-01-0 dispatch 李向明FLB10498484B   航后为排除故障,更换左组件ACM后,测试工作正常 AF fortroubleshooting replace the L/H A/C ACM test ok 祝党科 检验吉立刚挂签号1009286 封圈 R1131-906 3EA    R9026T230  2EA    2-232604-70 2EA",6408,2206400-2               ,38-483          ,,27989,42946.02,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1321105,10498484
73N,73N00477,5080    ,DE    ,CC    ,2206400-2               ,49-1185         ,21    ,X,X,FAIL  ,2002-02-07,00:00,0,00:00,0,2012-02-27,43699:41,21347,43699:41,21347,过站机组反映右组件灯亮 TR report the R pack light come on 苏国君,43699:41,"     过站自检ITC2有TCV信息无法复位,检查右组件无冲压空气,按MEL21-01-01单组件放行. TR bite the ITC2 have TCV message can't reset check the Rpack no air in.PER MEL21-01-01-01 to release  苏国君 FLB:10500766B航后检查发现ACM卡阻,更换新件,测试无渗漏. AF checked and found the ACMfault,replace the new part test is ok there is no leakage    梁树斌
PACKING:S9026T154   PACKING:S9026T230(2EA)",21347,2206400-2               ,5544            ,,11208,22115.4,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1499265,10500765
