机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,5508            ,21    ,X,X,FAIL  ,2008-01-18,07:26,8,07:26,8,2010-02-10,5643:12,2536,5643:12,2536,"BEFORE A/C DEPARTURE, RIGHT PACK FOUND INOP EITHER HIGHT OR AUTOMODE.",5635:46,"   ITEM TRANSFER TO ADD058 IAW MEL21-1, A/C FLIGHT ALTITUDE REMAINAT OR BELOW 25000FT REQUIRED.PLS REFER TO AMM21-51-01, REPLACE THE RIGHT PACK FLOW CONTROLVALVE AND AIR CYCLE MACHINE, TEST WORK NORMAL ADD058 CLEARED.",2528,2206400-2               ,4926            ,,3295,6967.04,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,877766,07021028
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,5508            ,21    ,X,X,FAIL  ,2010-04-28,6268:43,2808,5643:12,2536,2010-05-04,6273:00,2810,5647:29,2538,RH PACK FAULT LIGHT ILLUMINATED ON GROUND.,04:17,"   PACK 2 WAS RENDERED INOP AS PER MEL REF21-1.NO MAINTENANCE ACTION ISREQID FOR THIS DEFERRAL.ADD068 RAISED.T/SHOOT C/OUT IAW FIM 21-52 TASK 829,RH PACK ACM REPLACED WITH SPAREORIGINALLY REMOVED CHECK IAW AMM 21-51-01 SATIS.ADD068 CLEARED.",2,2206400-2               ,4926            ,HONEYWELL,3295,6967.04,04:17,2,(AOG)AIR CYCLE MACHINE（包修）                              ,939869,21041003
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,4926            ,21    , , ,SCH   ,2010-02-10,5643:12,2536,6280:17,2990,2010-04-28,6268:43,2808,6905:48,3262,"REF RWO NO. HKEMCP 306, PLS REPL NO2 PACK ACM FOR LOAN RETURN.",625:31,   NO 2 PACK ACM REPLD IAW AMM 21-51-04 BUT COMP INLET DUCTDISCONNECTED FOR REFL OF 2EA PACKING X'FER TO LP 210410-50 ITEM 15RH PACK FLOW CONT SOV IAW AMM 21-51-01 AND ACM INSTALLATION TESTC/OUT IAW AMM21-51-04 SATIS. LEAKAGE CHK SATIS.,272,2206400-2               ,5508            ,HONEYWELL,8012,13464.52,625:31,272,(AOG)AIR CYCLE MACHINE（包修）                              ,939268,21041049
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,3997            ,21    ,X,X,FAIL  ,2015-07-06,46192:53,23023,31877:34,15752,2015-07-07,46192:53,23023,31877:34,15752,FROM   FLB00000718B,00:00," 航后更换左空调ACM,并完成相关测试,结果正常.      杜艳辉AF replaced left condition ACM to function test ok",0,2206400-2               ,5848            ,北京丰荣,17195,33418.46,3197:57,1393,(AOG)AIR CYCLE MACHINE（包修）                              ,3323059,00000720
73N,73N01033,2158    ,DE    ,CC    ,2206400-2               ,38-713          ,21    ,X,X,FAIL  ,2012-02-18,35332:10,17323,32930:05,20342,2015-05-14,45900:49,22718,43498:44,25737,"航前检查发现右组件PACK灯亮,检查后发现ACM不工作.    韩杰PF check found RH assembly light bright check found the ACM do notwork",10568:39,"      航前依据MEL21-01-01-01放行飞机.    詹新权PF refer to MEL21-01-01-01 release itFLB00000892B    航后清洁右组件散热器,检查无冲压空气,依据AMM21-51-00更换空气循环机,测试右组件工作正常.AF clean right pack exchange check no rainair refer AMM21-51-00replace ACM test    郭新龙   封圈P/N  SP026T041  BACP11K62-158S604-70",5395,2206400-2               ,6718            ,武汉航达,14940,29534.46,10568:39,5395,(AOG)AIR CYCLE MACHINE（包修）                              ,3229416,00000891
73N,73N01649,5115    ,DE    ,CC    ,2206400-2               ,3702            ,21    ,X,X,FAIL  ,2005-02-01,00:00,0,00:00,0,2016-10-27,38599:41,19602,38599:41,19602,,38599:41,    FORM FL00002609B航后依据AMM21-51-04更换ACM依据AMM21-51-10更换TCV测试正常   刘建亮李龙AF REF TO AMM21-51-04 REAPLCE THE ACM REF T OAMM21-51-10REAPLCE THE TCV TEST IS OK,19602,2206400-2               ,10768           ,,7916,13588.26,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,4437137,00002071
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,5848            ,21    ,X,X,FAIL  ,2015-07-07,46192:53,23023,22948:59,11891,2016-04-01,48680:54,24211,25437:00,13079,实时监控左组件跳开.   杜定杰MONITOR THE LEFT PACK TRIP,2488:01,"       航后完成 MCO-2016-04-01-63 依据 AMM21-51-40 更换左组件流量活门和390过热电门, 依据 AMM21-00-65 完成相关测试, 发现ACM卡滞, 更换左组件ACM测试正常.   杜定杰AF ACCOMPLISH MCO-2016-04-01-63 REFER TO AMM21-00-65 REPLACE THE LEFTFLOW CONTROL AND SHUT OFF VALVE AND THE 390 HEAT SWITCH REFERAMM21-00-05 ACCOMPLISH THE BITE TEST FIND ACM FAULT REPLACE THE LEFTPACK ACM TEST WORK IS NORMAL.SEAL BACP11K5/BACP11K6 6EA   GASKET 2215108-1",1188,2206400-2               ,2518            ,北京丰荣,27479,48348.46,2488:01,1188,(AOG)AIR CYCLE MACHINE（包修）                              ,3915666,00005411
73N,73N02938,5482    ,DE    ,CC    ,2206400-2               ,49-1301         ,21    ,X,X,FAIL  ,2016-05-19,22017:28,11883,53857:02,26496,2017-06-26,24999:57,13625,56839:31,28238,,2982:29," 航后依据AMM21-51-04更换ACM,测试正常 董建喜AF refer to AMM21-51-04 repalced the air cycle test it ok",1742,2206400-2               ,6071            ,北京丰荣,14798,29273.05,2982:29,1742,(AOG)AIR CYCLE MACHINE（包修）                              ,5089123,00007836
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,2937            ,21    ,X,X,FAIL  ,2009-04-20,25991:44,12822,21411:15,10506,2016-05-26,49169:14,24600,44588:45,22284,航后检查右空调ACM损伤超标.      杨盛林AF check find ACM worn to limit dosn't work,23177:30," 航后依据AMM25-51-04更换ACM,测试正常.     杨盛林AF refer to AMM25-51-04 replace ACM test ok",11778,2206400-2               ,4010            ,北京丰荣,19432,38356.41,23177:30,11778,(AOG)AIR CYCLE MACHINE（包修）                              ,4049399,00008423
73N,73N01015,2157    ,DE    ,CC    ,2206400-2               ,38-649          ,21    ,X,X,FAIL  ,2007-05-29,19591:31,9823,286:47,137,2016-05-05,48672:56,24416,29368:12,14730,航后检查发现左侧ACM叶片破损.   齐艳涛AF CHECK FOUND L ACM BLADE WAS BROKEN,29081:25, 航后依据 AMM21-51-04 更换左侧ACM测试正常.   杨盛林AF REFER TO AMM21-51-04 REPLACE L ACM TEST IS OK,14593,2206400-2               ,38-468          ,武汉航达,39774,60039.29,29081:25,14593,(AOG)AIR CYCLE MACHINE（包修）                              ,3998318,00008503
73N,73N03382,5538    ,DE    ,CC    ,2206400-2               ,7622            ,21    ,X,X,FAIL  ,2010-08-13,00:00,0,00:00,0,2018-04-24,24078:46,12571,24078:46,12571,地面滑行中右PACK灯亮 艾强发,24078:46,  航后依据AMM21-51-04更换右组件ACM测试正常 挂签/TAG 7029712 王晓宇杨光AF refer AMM21-51-04 replace ACM of RH pack test ok,12571,2206400-2               ,14294           ,,950,2116.04,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6083891,00011649
73N,73N03382,5538    ,DE    ,CC    ,2206400-2               ,14294           ,21    ,X,X,FAIL  ,2018-04-24,24078:46,12571,00:00,0,2019-01-18,26194:50,13521,2116:04,950,,2116:04, 航后依据AMM21-51-04 更换右空调ACM 完成相关测试 完成MCO 柯钡 黄热星AF REFER TO AMM21-51-04 REPLACE R/H AIR CONDITION ACM TEST OK FINISH,950,2206400-2               ,5366            ,,15707,31141.25,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,7029439,00013794
73N,73N06133,1570    ,DE    ,CC    ,2206400-2               ,13756           ,21    ,X,X,FAIL  ,2016-10-20,00:00,0,00:00,0,2018-07-27,5651:04,2456,5651:04,2456,左组件灯亮. 不可复位.  仝伟LEFT PACK LIGHT IS BRIGHT AND CAN NOT RESET,5651:04,   航后依据AMM21-51-04更换左组件ACM 依据AMM21-51-00更换左组件FCSOV测试正常.  仝伟AF REFER TO AMM21-51-00 REPLACED ACM OF LEFT PACK  REFER TO AMM21-51-00 REPLACED FCSOV OF LEFT PACK TEST NORMAL,2456,2206400-2               ,2907            ,,34262,53935.41,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6410575,00017161
73N,73N05612,7105    ,DE    ,CC    ,2206400-2               ,12315           ,21    ,X,X,FAIL  ,2015-09-30,00:00,0,00:00,0,2018-01-06,7183:57,3575,7183:57,3575,PF除冰后机组接通组件客舱有雾  刘飞 THE FORG IN CABIN AFTER PACKS ONWHEN THE DIE ICE FLUSH,7183:57,"      航后依据AMM21-51-04更换右组件ACM依据AMM21-51-16检查右组件 水分离器出水喷嘴无堵塞 接近再循环风扇检查滤网 无除冰液残留拆开左右组件冲压进气管路,检查冲压进气管路无残留物 拆开右组件主级散热进口管路和右组件活门上游管路有少许除冰液残留 已清洁尚超 AF REF OT AMM21-51-04 REPALCED RIGHT PACK ACM REF TO AMM21-51-16CHECK RIGHT PACK WATER SPRAY NOZZLE CHECK RAM AIR DUCT NO CONTAINMENTPACKING:S9026T230",3575,2206400-2               ,14298           ,,1862,3283.26,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,5697924,00022367
73N,73N04601,1905    ,DE    ,CC    ,2206400-2               ,8473            ,21    ,X,X,FAIL  ,2013-08-28,00:00,0,00:00,0,2015-11-24,6831:59,3239,6831:59,3239,落地滑行期前左组件灯亮。徐斌LEFT PACK LIGHT OIL AFTER LAND WHILE TAXIING.,6831:59,"   航后执行ETC1自检有TCV 代码更换左组件 TCV 后故障依旧，测试 发现ACM处有异响，更换ACM,测试正常，无代码。杜锐AF DO ETC1 BITE TEST HAVE TCV CODE REPCACE L-PACK FAILT REMAINTEST ACM HAVE NOTSE,REPCACE ACM,TEST OK NO CODE.",3239,2206400-2               ,5353            ,,18353,35387.09,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,3598223,0002250A
73N,73N04118,1906    ,DE    ,CC    ,2206400-2               ,9021            ,21    ,X,X,FAIL  ,2012-07-17,00:00,0,00:00,0,2015-06-28,9418:16,4484,9418:16,4484,,9418:16,"   空中多次反映左组件跳开,航后依据AMM21-51-03,更换热交换器和空中循环机测试正常      林炎鸿THE LEFT PACK HAS DISCHARGE FOR MANY TIMES,AF REFER TO AMM21-51-03,REPLACE THE HEAT EXCHAGER AND THE ACM,TEST OK",4484,2206400-2               ,7116            ,,13302,24520.4,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,3304956,0002532B
73N,73N05760,1568    ,DE    ,CC    ,2206400-2               ,12059           ,21    ,X,X,FAIL  ,2016-01-21,00:00,0,00:00,0,2017-07-11,3162:38,1236,3162:38,1236,在乌鲁木齐落地后右组件灯亮  机组AFTER LANDING AT URUM QZ RIGH PACK LIGHTS ON,3162:38,"  航后检查右组件ACM卡滞,依据AMM21-51-04,更换右组件ACM,测试正常  张佳欢AF CHECK RH PACK ACM CLAMP ,REFER TO AMM21-51-04 REPLACE RH PACK ACMTEST NORMAL",1236,2206400-2               ,6957            ,,12386,24855.42,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,5131789,00025440
73N,73N06649,1325    ,DE    ,CC    ,2206400-2               ,14798           ,21    ,X,X,FAIL  ,2017-10-16,00:00,0,00:00,0,2018-06-08,1930:56,843,1930:56,843,实时监控左组件跳开. 郑兆勇MONITOR LEFT PACK TRIP,1930:56,   航后依据AMM21-61-17更换左侧PFTC依据AMM21-51-04更换ACM读取空调数据并录入.  郑兆勇  王健AF REFER TO AMM21-61-17 REPLACED LH PFTC REFER TO AMM21-51-04 REPLACED LEFT ACM READ AIR CONDITION DATA AND RECORD,843,2206400-2               ,9932            ,,7819,15460.56,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6239279,00033727
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,4010            ,21    ,X,X,FAIL  ,2016-05-26,49169:14,24600,31735:24,16144,2018-09-15,55788:18,27887,38354:28,19431,FROM FLB00036265,6619:04,"    航后依据 AMM21-51-04 更换右组件ACM测试正常, 完成右组件反向吹除.李腾AF REFER AMM21-51-04 CHANGE RIGHT PACK ACM TEST IS NORMAL ACCOMPLISHRIGHT PACK REVERSE BLOW封圈 2-158S604-70 / BACP11K6 3EA / S9026T230 4EA",3287,2206400-2               ,9651            ,北京丰荣,8241,15179.22,6619:04,3287,(AOG)AIR CYCLE MACHINE（包修）                              ,6588652,00036814
73N,73N05655,6995    ,DE    ,CC    ,2206400-2               ,11943           ,21    ,X,X,FAIL  ,2015-10-27,00:00,0,00:00,0,2019-02-17,10563:49,4611,10563:49,4611,PACK LIGHT ILLUMINATE   机组,10563:49,              过站依据AMM21-51-10更换右组件TCV测试TCV做动正常     李建玮TR REFER TO AMM21-51-10 REPLACE THE RH PACK TCV TEST OKFLB00042425B  过站技术团队决策依据MEL21-01-01-01放行飞机 有O项 黄保利无M项  TR THE TECHNIC TEAM DECIDED TO REFER TO MEL21-01-01-01DISPATCH THE AIRPLANE HAVE O ITEM NO M ITEMFLB00042427A 航后依据AMM21-51-04更换ACM 检查ACM叶片断裂，检查相关区域无异物，测试正常     任俊杰AF REFER TO AMM21-51-04 REPLACE ACM CHECK ACM BROKEN CHECK ZONENO FOREIGN MATTER TEST IS OK取下不工作标牌   REMOVE NOT WORK TIPS封圈   S9026T041FLB00042428A添加航材   任俊杰ADD PARTS封圈 seal BACP11K6 / S90267230 / 2215108-1卡子 comple  BACC10BNA450L5WE,4611,2206400-2               ,107-441         ,,34699,62731.25,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,7131206,00042424
73N,73N02097,5182    ,DE    ,CC    ,2206400-2               ,4615            ,21    ,X,X,FAIL  ,2006-10-23,00:00,0,00:00,0,2016-04-08,31692:15,15978,31692:15,15978,,31692:15, 根据AMM21-51-04更换左组件ACM检查正常。杨家箱REPLACED LEFT PACK ACM PER AMM21-51-04 CHECKE NORMAL,15978,2206400-2               ,4202            ,,20026,40310.49,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,3933083,0005908A
73N,73N02097,5182    ,DE    ,CC    ,2206400-2               ,4202            ,21    , , ,FAIL  ,2016-04-08,31692:15,15978,32656:58,16281,2016-06-04,32232:08,16306,33196:51,16609,,539:53,        FLB00007616A航后依据AMM21-51-04更换左组件ACM 测试正常，为判断故障将5182飞机左组件TCV与7105飞机前舱配平活门对串（右组件，测试正常。依据AMM21-51-1将5182左组STCV与7105左组件STCV 对串，测试正常。杨伟AF REF AMM21-51-04 REPLACED L PACK ACM TEST OK .FOR TROUBTLESHOUTING REF AMM21-51-10 EXCHANGE 5182  L PACK TCV WITH 7105FOW CABIN TIME LRPACK TEST OK .REF AMM 21-51-11EXCHANGETHE B-5182 AIRCARFT L PACK STCV WITH 7105 L PACK STCV TEST OK.REMOVEL DD 201614755,328,2206400-2               ,3905            ,北京丰荣,22368,42552.57,539:53,328,(AOG)AIR CYCLE MACHINE（包修）                              ,4072689,0006511A
73N,73N04601,1905    ,DE    ,CC    ,2206400-2               ,9932            ,21    ,X,X,FAIL  ,2013-08-28,00:00,0,00:00,0,2016-06-24,8788:19,4574,8788:19,4574,,8788:19,  FLB00006947。航后更换 ACM，测试正常。关闭DD0000104。卞景龙AF REPLACE ACM TEST OK CLOSE DD00001204,4574,2206400-2               ,2937            ,,25324,50280.45,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,4122454,0006950B
73N,73N02097,5182    ,DE    ,CC    ,2206400-2               ,1763            ,21    ,X,X,FAIL  ,2008-04-30,5462:44,2566,12927:41,6274,2016-06-01,32208:31,16292,39673:28,20000,,26745:47,  FLB00007605B航后依据AMM21-51-04REPLACE THE ACM OF RIGHT PACK TES PASS REMOVAL DD 201614455,13726,2206400-2               ,4737            ,,19594,35032.02,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,4063417,0007610B
73N,73N02097,5182    ,DE    ,CC    ,2206400-2               ,3905            ,21    ,X,X,FAIL  ,2016-06-04,32232:08,16306,35025:08,18072,2017-07-02,35918:37,18643,38711:37,20409,航后检查发现左组件温度高。刘明阳AF CHECK AND FIND L/H PACK ASSY TEMPERATURE HIGH.,3686:29,"   航后依据AMM21-51-04更换左组件ACM，测试正常，完成MCO-2017-07-02-2.刘明阳AF REF AMM21-51-04 REPLACE L/H PACK ASSY ACM,TEST OK,ACCOMPLISHEDMCO-2017-07-02-2,.",2337,2206400-2               ,8680            ,,10965,20589.11,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,5104486,0008685B
73N,73N04601,1905    ,DE    ,CC    ,2206400-2               ,2937            ,21    ,X,X,FAIL  ,2016-06-24,8788:19,4574,44588:45,22284,2017-06-29,12211:21,6381,48011:47,24091,左右组件温度偏高37度。张杰源R/L PACK TEMPERATURE WAS 37℃.,3423:02,"    航后完成MCO-2017-06-29-1 参考EO737-21-1111完成管壁测温，检查ACM发现疑似损伤，依据AMM25-51-04完成ACM更换，测试正常，检查ACM风扇旁通活门未丢失，TCV,STCV无内漏，依据AMM21-51-03完成水洗左/右组件热交换器测试正常，再次完成管壁测温。张杰源TO[FLB00009050B]",1807,2206400-2               ,4744            ,北京丰荣,18624,34386.02,3423:02,1807,(AOG)AIR CYCLE MACHINE（包修）                              ,5096612,0009050A
73N,73N02827,5430    ,DE    ,CC    ,2206400-2               ,38-714          ,21    ,X,X,FAIL  ,2010-10-11,5200:00,2648,35212:47,24517,2017-08-10,26892:15,14488,56905:02,36357,,21692:15,"   FORM[FLB00020804B]航后依据AMM21-51-04更换左侧ACM,测试正常，关闭FC201722533.吴鸿彬AF REF TO AMM21-51-04 REPLACED L ACM,TEST OK,CLOSE FC201722533.",11840,2206400-2               ,5886            ,武汉航达,16859,32512.44,21692:15,11840,(AOG)AIR CYCLE MACHINE（包修）                              ,5222867,0020806B
73N,73N02827,5430    ,DE    ,CC    ,2206400-2               ,107-339         ,21    ,X,X,FAIL  ,2010-10-13,5217:46,2700,25444:37,22449,2017-08-11,26900:10,14494,47127:01,34243,,21682:24,"  FROM[FLB00020807B]航后更换ACM,测试正常，撤除FC201722615.叶明海AF REPLACE ACM,TEST OK,REMOVE FC201722615.",11794,2206400-2               ,49-1301         ,武汉航达,30894,60702.16,21682:24,11794,(AOG)AIR CYCLE MACHINE（包修）                              ,5229566,0020808B
73N,73N02097,5182    ,DE    ,CC    ,2206400-2               ,8680            ,21    ,X,X,FAIL  ,2017-07-02,35918:37,18643,16682:12,8397,2019-01-05,39825:36,21211,20589:11,10965,航后发现左组件ACM的涡轮进口管有破损。李定良AF FIND TURBINE INLET TUBE OF ACM OF LEFT PACK DAMAGE.,3906:59," 航后依据AMM21-51-04更换ACM，测试正常。卞卫东 互检：李定良AF REF TO AMM21-51-04 REPLACE ACM ASSY,TEST IS NORMAL.",2568,2206400-2               ,7017            ,北京丰荣,12854,25068.23,3906:59,2568,(AOG)AIR CYCLE MACHINE（包修）                              ,6977569,0024787B
73N,73N03186,5503    ,DE    ,CC    ,2206400-2               ,7110            ,21    ,X,X,FAIL  ,2010-02-08,00:00,0,00:00,0,2018-05-17,26253:36,14494,26253:36,14796,左组件ACM冲压风扇有磨损。吴鸿彬LEFT ACM FAN IS ABRASION.,26253:36," 航后依据AMM21-51-04更换左组件ACM组件，测试正常。吴鸿彬AF REF TO AMM21-51-04 REPLACE LEFT ACM,TEST IS OK.",14796,2206400-2               ,107-339         ,,35595,49108.58,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6163422,0030945B
73N,73N04472,1562    ,DE    ,CC    ,2206400-2               ,5906            ,21    ,X,X,FAIL  ,2018-07-26,15746:18,8110,00:00,0,2018-08-22,15981:37,8220,235:19,110,,235:19," 航后依据手册AMM21-51-04更换右侧ACM，测试正常，无渗漏。卞卫东AF REF TO AMM21-51-04 REPLACE RIGHT ACM,TEST OK,NO LEAK.",110,2206400-2               ,14156           ,,2601,4631.44,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6501865,0033524B
73N,73N04472,1562    ,DE    ,CC    ,2206400-2               ,9149            ,21    ,X,X,FAIL  ,2013-05-29,00:00,0,00:00,0,2018-07-23,15728:10,8098,15728:10,8098,,15728:10,"  FROM FLB00035256B航后依据AMM21-51-04更换左侧ACM,测试正常.L PACK TEMP 32℃。徐启茗AF REF AMM21-51-04 REPLACE L/H ACM,TEST OK,L PACK TEMP 32℃。",8098,2206400-2               ,12571           ,,5573,11220.5,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6396295,0035259B
73N,73N04472,1562    ,DE    ,CC    ,2206400-2               ,9179            ,21    ,X,X,FAIL  ,2013-05-29,00:00,0,00:00,0,2018-07-26,15746:18,8110,15746:18,8110,,15746:18,"   航后完成MCO-2018-07-26-94,依据AMM21-51-04,更换右侧ACM,测试正常。张杰源AF COMPLETE MCO-2018-07-26-94,REF TO AMM21-51-04,REPLACE R/HACM TEST OK.",8110,2206400-2               ,5906            ,,110,235.19,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6407970,0035269B
73N,73N04281,1559    ,DE    ,CC    ,2206400-2               ,9769            ,21    ,X,X,FAIL  ,2012-11-28,00:00,0,00:00,0,2018-06-08,15141:15,8076,15153:82,8087,航后检查ACM本体螺钉松动。李赞伟AF CHECK ACM SCREW LOOSE.,15154:22,"  航后依据AMM21-51-03更换ACM 测试正常。李赞伟AF REF AMM21-51-03 REPLACED ACM,TEST NORMAL.螺钉/BOLT  PN:NAS1351C3-10",8087,2206400-2               ,7622            ,,13715,26177.52,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,6240856,0040945A
73N,73N00163,5061    ,DE    ,CC    ,2206400-2               ,38-670          ,21    ,X,X,FAIL  ,2001-09-05,00:00,0,00:00,0,2004-07-21,15599:30,8925,15599:30,8925,大连开车后，使用发动机电源后，空调有明显的热气。,15599:30,"    航后检查左组件涡轮风扇失效引起左组件跳开不工作，因航材无料，依据MEL21-1保留。办DD2003347。 程全L0043912:航后完成DD2003347,更换左空调组件ACM(AMM21-51-04),测试正常，并恢复正常张文利，挂签号1000607，件号S9026T230(4个），2215108-1，R1131-906(2个",8925,2206400-1               ,118-906         ,,462,772.08,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,127334,0043911 
73N,73N02155,5710    ,DE    ,CC    ,2206400-2               ,4744            ,21    ,X,X,OBS   ,2007-01-06,00:00,0,00:00,0,2011-01-08,10445:26,6440,10445:26,6440,REFER TO ADD 151 LH PACK U/S,10445:26,"IAW AMM 21-51-04, REPLACED LH PACK ACM STILL NO HELP. ADD REMAIN",6440,2206400-2               ,2303            ,,25695,50022.13,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1130025,08011105
73N,73N02155,5710    ,DE    ,CC    ,2206400-2               ,2303            ,21    ,X,X,OBS   ,2011-01-08,10445:26,6440,27865:03,14236,2011-01-09,10453:22,6444,27872:59,14240,"REFER WORKORDER HKE-FTM234, PLEASE REINSTALL ORIGINAL ACM (S/N 4744)AND REPLAC NEW PACK FLOW CONTROL VALVE ON LH PACK",07:56, LHS ACM REPLACED LH PACK FLOW CONTROL VALVE REPLACED. PACK FLOWCONTROL AND PACK SYSTEM TEST PERFORMED AND NORMAL,4,2206400-2               ,4744            ,北京丰荣,18624,34386.02,394:59,246,(AOG)AIR CYCLE MACHINE（包修）                              ,1130054,09011112
73N,73N02121,5709    ,DE    ,CC    ,2206400-2               ,2303            ,21    ,X, ,NFF   ,2010-08-17,9692:52,6200,27478:00,13994,2010-10-09,10079:55,6442,27865:03,14236,PLS REPL LH PACK ACM,387:03,LH PACK ACM REPLACED CHK SATIS.,242,2206400-2               ,4674            ,北京丰荣,16199,30165.55,387:03,242,(AOG)AIR CYCLE MACHINE（包修）                              ,1056224,09101016
73N,73N00103,2637    ,DE    ,CC    ,2206400-2               ,76-104          ,21    ,X,X,FAIL  ,2004-05-01,18488:35,9956,00:00,0,2005-06-14,22370:40,11770,3882:05,1814,T10014895,3882:05,更换ACM测试正常，办观察。王强 挂签号XG9515403,1814,2206400-2               ,77-276          ,,180,390.32,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,202703,10014902
73N,73N00154,5060    ,DE    ,CC    ,2206400-2               ,38-670          ,21    ,X, ,SWAP  ,2005-05-06,19304:59,10902,15599:30,8925,2005-05-15,19391:15,11005,15685:46,9028,客舱空调制冷效果太差，在空中地面都热，旅客反映强烈。王永刚,86:16, 航后检查发现左组件ACM出口温度高，从2647单串ACM，完成相关测试。空调工作正常。串件单号：B001713C  龙登钦,103,2206400-2               ,76-105          ,武汉航达,32412,56316.32,86:16,103,(AOG)AIR CYCLE MACHINE（包修）                              ,194504,10030082
73N,73N00154,5060    ,DE    ,CC    ,2206400-2               ,118-878         ,21    ,X,X,FAIL  ,2004-01-01,14657:07,8235,00:00,0,2005-03-31,18990:08,10731,4333:01,2496,右空调组件（PACK)每次在滑出或爬升时都亮，空中客舱温度高，无法调整。孟庆贵,4333:01,  航后检查确认位空调右组件ACM不工作，根据AMM21-51-04更换右空调ACM后完成相关测试检查空调工作正常，长时间使用空调未见组件跳开，空调温度能条到手册要求，恢复飞机正常。  挂签号1009749     徐洪清,2496,2206400-2               ,107-386         ,武汉航达,20398,42228.22,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,183019,10034072
73N,73N00154,5060    ,DE    ,CC    ,2206400-2               ,107-386         ,21    ,X,X,FAIL  ,2005-03-31,18990:08,10731,00:00,0,2005-05-06,19304:59,10902,314:51,171,见L10049340,314:51,   FROM L10049340航后拆下ACM检查发现里面的涡轮叶片卡死，叶片掉了一片，更换新的ACM，按AMM21-51-04进行更换并测试工作正常，长时间使用空调组件工作正常。挂签号1016555      袁彬,171,2206400-2               ,38-670          ,,31171,59413.2,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,192040,10049342
73N,73N00163,5061    ,DE    ,CC    ,2206400-2               ,38-524          ,21    ,X,X,FAIL  ,2004-11-17,16670:21,9573,00:00,0,2005-06-08,18491:25,10770,1821:04,1197,,1821:04,"    FROM:L10050330 航后检查发现右组件ACM不转更换AMM21-51-04更换ACM,测试右组件工作正常，同时发现左组件水分离器布袋脏，按AMM21-51-00更换布袋测试左组件工作正常。钟前海  挂签：1002100P/N:21D10-2",1197,2206400-2               ,107-386         ,,20398,42228.22,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,201058,10050331
73N,73N00103,2637    ,DE    ,CC    ,2206400-2               ,77-276          ,21    ,X, ,WOR   ,2005-06-14,22370:40,11770,00:00,0,2005-07-23,22761:12,11950,390:32,180,,390:32,   航后完成借件拆还指令2005CH49拆下右组件ACM，并装上新的ACM完成相关测试右组件工作正常。殷玉林P/N:AS1505-18A0042;S9026T230 ;Z-158S604-70,180,2206400-2               ,38-582          ,,14983,28430.17,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,213508,10089368
